Year,Team,Adj OE,Adj DE,Barthag,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,PAKE,PASE,Talent,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS
2008,Drake,120.017,98.627,0.905,26,31,52.6,50.4,35.2,23.9,18.0,24.1,36.7,33.1,63.5,50.5,49.5,36.7,34.5,7.6,10.5,59.6,56.4,46.1,39.4,62.761,75.719,79.587,2.241,-1.3,-1.158,2.519,76.8,67.1,1.142,0.974,21.882
2008,Purdue,110.768,91.402,0.901,25,34,49.1,49.1,37.1,42.6,19.1,26.0,33.1,30.9,66.6,45.3,47.6,37.3,34.8,12.8,9.1,56.0,55.2,35.7,31.5,66.804,77.694,80.62,0.848,-0.2,-0.059,66.368,71.2,67.0,1.038,0.931,29.495
2008,Pittsburgh,116.922,96.781,0.898,26,36,50.8,47.9,36.1,28.6,18.2,20.9,39.3,33.9,65.5,50.8,46.8,33.8,33.4,9.2,8.0,57.3,52.9,30.4,34.4,63.597,75.961,78.824,1.727,-0.2,-0.546,65.161,66.5,69.4,1.106,0.988,32.958
2008,Connecticut,115.602,95.852,0.896,24,33,50.6,44.2,48.1,23.5,19.4,17.3,39.5,34.2,69.8,49.5,40.5,36.1,34.8,19.3,8.2,56.2,52.3,24.7,32.0,67.318,78.462,83.02,1.417,-1.4,-1.546,85.537,72.0,68.0,1.102,0.977,28.928
2008,Arizona,116.145,96.41,0.895,18,33,53.9,48.7,40.4,30.4,18.6,19.0,27.8,33.4,64.9,51.2,47.5,39.6,34.5,8.8,7.8,61.9,52.8,32.1,28.2,63.608,77.029,80.331,1.403,-0.7,-0.612,85.102,74.5,70.5,1.087,1.021,39.121
2008,Gonzaga,113.418,94.147,0.895,25,33,54.5,45.7,39.7,32.1,20.7,21.6,34.6,29.7,68.4,53.7,43.8,37.5,32.7,13.0,9.0,53.7,51.1,31.9,37.2,66.665,78.557,81.738,1.584,-0.5,-0.901,73.8,71.2,64.8,1.102,0.92,22.458
2008,Notre Dame,115.367,95.988,0.892,25,33,52.2,46.6,34.0,23.0,18.3,17.5,36.2,30.7,70.8,47.8,44.8,40.5,33.5,8.8,9.1,66.5,57.0,33.6,33.2,68.857,77.364,81.067,1.735,-0.2,-0.158,80.171,73.8,64.5,1.113,0.98,28.976
2008,Butler,114.978,95.723,0.892,30,34,54.1,48.0,36.7,32.6,16.9,22.9,29.8,32.2,60.5,51.3,48.2,38.0,31.8,7.2,9.3,57.3,45.4,48.5,31.7,59.527,75.775,79.139,2.186,-0.3,0.099,11.348,73.7,66.5,1.124,0.954,17.772
2008,USC,110.075,91.76,0.89,21,33,53.3,44.8,38.7,27.9,21.9,20.0,31.1,35.0,65.9,51.5,44.1,38.7,30.7,11.5,7.3,49.9,48.4,27.8,34.7,65.727,77.758,80.623,0.639,-0.7,-1.059,65.854,68.5,68.5,1.035,0.955,36.659
2008,Indiana,114.781,95.785,0.889,25,33,52.3,47.3,41.9,31.0,20.0,19.8,36.1,29.1,67.3,52.3,45.1,34.9,34.1,10.3,8.0,52.0,56.1,34.9,35.7,66.774,77.392,80.08,1.587,-0.8,-0.724,52.71,75.9,65.0,1.104,0.961,27.854
2008,New Mexico,110.377,92.435,0.885,24,33,54.1,47.8,40.2,41.3,18.1,24.0,31.1,27.4,66.0,49.2,45.7,42.0,33.9,8.8,6.7,63.4,63.5,35.6,40.0,64.466,76.735,80.044,1.88,0.0,0.0,26.569,65.9,68.3,1.097,0.928,18.653
2008,Ohio St.,109.328,91.94,0.88,24,37,52.5,45.4,28.2,22.1,20.4,21.4,33.3,35.6,65.3,53.6,43.6,33.7,32.0,14.4,6.4,57.2,61.0,36.5,40.4,64.167,78.523,81.487,1.375,0.0,0.0,74.588,68.7,68.0,1.053,0.949,30.63
2008,Virginia Tech,106.09,89.405,0.877,21,35,48.8,46.5,39.0,33.7,20.9,21.5,34.6,29.0,68.5,48.0,44.1,33.7,34.1,13.0,10.8,53.9,53.1,28.8,33.7,65.882,77.235,79.456,1.028,0.0,0.0,44.947,68.1,68.0,1.011,0.932,27.81
2008,Mississippi St.,108.504,91.961,0.87,23,34,52.2,42.5,39.0,28.0,21.4,17.8,34.7,32.7,69.1,53.3,39.8,33.4,31.7,19.3,9.4,50.6,50.5,36.6,35.1,66.847,77.328,80.262,1.332,0.3,0.276,69.445,64.6,68.4,1.049,0.939,25.601
2008,BYU,106.707,90.796,0.865,27,35,53.2,43.2,37.3,30.5,19.5,19.1,30.6,26.4,69.9,51.6,42.8,37.3,29.5,9.6,6.0,65.3,46.9,38.8,29.7,68.486,77.758,81.128,1.659,-0.6,-0.724,34.988,65.3,70.5,1.051,0.901,21.733
2008,Nebraska,107.756,92.032,0.86,20,33,51.2,47.3,38.6,32.0,20.6,23.9,32.1,30.0,64.0,51.1,42.6,34.2,36.4,9.2,9.0,60.1,55.7,32.1,39.1,61.437,75.063,79.654,1.497,0.0,0.0,23.932,66.6,70.3,1.032,0.933,30.329
2008,Miami FL,112.255,96.028,0.858,22,33,49.2,47.0,39.2,35.4,19.0,20.6,35.1,34.0,68.6,45.7,43.7,37.9,35.6,12.1,10.3,51.1,49.4,31.0,34.1,66.01,77.031,80.051,1.832,0.2,0.099,42.138,75.2,66.8,1.07,0.987,29.738
2008,Arkansas,111.509,95.43,0.857,23,35,51.9,48.4,37.9,35.6,21.8,21.2,37.6,31.9,69.4,52.3,47.4,34.1,33.5,14.1,9.9,54.0,52.9,30.3,34.6,66.861,77.418,81.732,2.232,0.4,0.388,59.525,67.8,69.7,1.064,0.981,27.542
2008,Florida,116.056,99.756,0.851,24,36,55.3,50.0,31.2,29.1,18.6,19.8,35.6,30.0,67.6,55.7,49.5,36.3,34.0,8.1,8.1,61.1,52.3,35.5,33.1,64.824,77.091,80.709,0.619,0.0,0.0,87.222,70.1,65.9,1.144,0.997,22.704
2008,Baylor,116.59,100.534,0.846,20,31,51.9,48.3,35.9,39.5,17.2,19.4,32.0,32.9,70.9,49.6,46.5,37.3,35.1,10.2,9.9,42.7,47.1,36.5,29.9,69.983,76.527,81.574,1.742,-0.6,-0.638,52.034,74.1,70.6,1.103,1.025,29.948
2008,Oregon,118.716,102.477,0.844,18,32,55.8,50.3,36.7,34.3,18.4,16.4,32.0,31.0,67.3,53.8,50.4,39.2,33.4,6.7,10.0,55.4,53.3,39.8,35.3,66.344,76.175,79.668,1.946,-0.6,-0.612,72.871,69.4,69.1,1.124,1.065,35.278
2008,Illinois,106.748,92.181,0.844,16,35,48.8,45.8,36.5,37.2,21.5,20.3,37.0,29.9,62.4,49.2,43.3,31.9,33.5,8.1,8.9,59.6,52.8,33.0,35.5,61.644,77.732,81.276,1.712,0.0,0.0,66.285,60.8,72.0,1.002,0.962,32.817
2008,UNLV,109.594,94.848,0.84,26,34,48.6,46.3,33.3,32.4,16.2,21.6,29.1,32.3,66.2,47.8,47.0,33.2,30.1,8.7,8.4,61.4,53.8,39.8,36.6,64.546,76.523,78.859,1.999,0.4,0.276,18.883,74.8,66.7,1.047,0.939,22.71
2008,Syracuse,112.531,97.462,0.839,21,35,52.7,49.2,42.0,29.5,21.8,20.0,39.0,32.6,72.9,53.3,46.8,34.1,35.4,15.8,8.2,58.0,61.9,26.9,39.1,70.24,78.016,81.88,0.794,0.0,0.0,84.573,66.8,69.6,1.081,1.017,27.826
2008,Saint Mary's,108.214,93.843,0.837,24,31,52.4,44.8,39.0,30.7,18.9,20.9,35.5,31.4,68.6,51.6,44.1,35.8,31.3,12.1,10.3,55.3,38.6,38.0,25.9,66.675,77.097,80.766,1.76,-0.6,-0.612,18.126,66.3,69.1,1.088,0.921,18.163
2008,Villanova,108.56,94.411,0.833,22,35,49.1,51.1,38.9,46.4,20.5,23.6,36.2,31.0,69.4,47.8,48.6,34.4,36.5,9.1,12.3,53.7,57.6,34.9,40.9,67.742,77.261,80.258,0.994,1.4,1.493,61.386,72.7,68.4,1.049,1.001,31.251
2008,Oklahoma,108.156,94.232,0.83,23,35,50.1,47.0,38.7,30.3,19.7,20.2,33.4,30.2,64.8,49.0,46.0,34.8,32.6,10.7,9.0,52.5,46.9,33.6,34.7,63.448,77.981,81.253,1.669,0.3,-0.059,63.704,68.1,72.7,1.038,0.975,33.847
2008,Western Kentucky,110.477,96.414,0.827,27,34,53.6,47.2,36.0,48.8,20.2,24.9,36.7,33.4,69.4,51.1,46.2,39.0,32.9,10.6,7.1,46.1,53.0,32.7,32.2,67.959,76.545,79.573,2.066,1.4,1.493,16.148,70.8,70.3,1.104,0.954,17.003
2008,Saint Joseph's,114.564,100.131,0.825,21,34,54.6,50.6,39.7,33.3,19.3,21.5,32.5,34.0,65.2,52.8,47.7,38.6,37.0,13.3,10.0,58.4,60.6,35.6,37.6,63.672,78.503,81.31,1.974,-0.7,-0.638,34.745,72.6,68.5,1.112,1.026,24.038
2008,Missouri,112.013,98.075,0.822,16,32,50.7,48.8,30.8,42.9,17.7,23.1,31.5,34.9,72.1,51.0,49.8,33.4,30.9,7.8,8.2,57.4,48.7,31.9,31.2,70.829,77.163,80.091,2.171,0.0,0.0,47.452,69.0,71.0,1.059,0.992,32.099
2008,Mississippi,113.729,99.702,0.82,24,35,52.0,49.5,30.0,34.3,18.6,19.6,39.1,31.1,71.5,50.4,48.2,36.7,34.4,8.8,9.9,54.0,55.6,33.0,36.2,69.584,76.852,80.431,1.466,0.0,0.0,48.726,65.1,66.9,1.104,1.013,24.913
2008,Georgia Tech,113.926,99.955,0.818,15,32,52.9,51.2,38.3,48.7,21.1,22.4,34.1,35.5,72.1,51.5,51.5,37.2,33.8,9.8,8.3,54.4,54.9,30.7,35.7,68.802,77.344,79.89,1.841,0.0,0.0,81.804,70.0,70.2,1.067,1.046,35.649
2008,Florida St.,107.974,94.838,0.816,19,34,50.4,49.3,35.9,34.6,21.9,22.6,33.5,33.8,68.3,49.2,48.0,35.2,34.6,10.4,9.0,44.4,52.5,34.9,34.7,65.793,76.349,80.074,2.129,0.0,0.0,67.194,77.3,69.3,1.034,0.989,31.329
2008,Vanderbilt,112.117,98.623,0.814,26,34,54.1,49.7,38.3,32.0,19.8,20.5,31.0,33.5,71.5,50.6,48.3,39.9,35.0,8.5,9.6,65.3,49.1,38.1,33.6,68.677,77.422,81.039,1.665,-0.8,-1.546,63.746,73.5,69.5,1.092,1.018,23.437
2008,Arizona St.,108.971,95.972,0.812,21,34,53.7,48.4,40.1,32.1,20.2,21.6,28.5,32.2,61.3,54.1,45.3,35.5,35.1,10.8,8.7,63.9,65.3,41.5,42.2,60.991,76.793,79.622,0.726,0.0,0.0,46.958,73.9,73.0,1.07,0.992,30.802
2008,Maryland,107.765,95.04,0.809,19,34,50.9,44.4,37.5,30.9,23.4,19.7,35.0,34.9,71.7,50.9,42.6,33.8,32.4,15.1,11.5,62.8,50.1,27.8,30.4,69.408,78.423,80.198,1.382,0.0,0.0,68.771,70.3,74.0,1.014,0.969,29.488
2008,Massachusetts,109.948,96.978,0.809,25,36,51.4,47.6,38.6,37.9,17.7,19.9,31.7,33.9,75.6,49.9,46.1,35.6,34.1,16.8,10.7,56.3,53.4,40.7,30.1,74.552,77.257,80.357,2.014,0.0,0.0,49.249,67.2,67.8,1.075,0.998,22.726
2008,Illinois St.,105.384,93.299,0.802,24,34,52.2,46.3,33.9,35.5,20.0,22.2,31.2,31.2,63.0,50.1,45.2,37.1,32.2,10.1,7.6,62.5,56.2,38.0,36.0,62.819,75.557,80.208,2.196,0.0,0.0,13.883,63.3,69.2,1.034,0.952,20.739
2008,Southern Illinois,104.803,92.821,0.802,18,33,48.4,49.2,40.7,48.8,22.2,24.6,33.4,28.7,61.7,47.0,47.3,34.0,34.7,8.4,8.6,57.1,55.2,35.5,39.0,61.143,76.576,79.325,2.159,0.0,0.0,23.944,71.5,70.3,1.004,0.958,25.136
2008,Kent St.,106.731,94.536,0.801,28,35,52.5,46.6,41.1,37.8,21.8,24.2,35.7,35.6,65.4,50.9,46.0,37.3,31.7,10.9,10.3,57.9,54.6,30.4,33.1,64.895,75.948,78.878,1.917,-0.6,-0.612,13.77,70.7,67.8,1.05,0.942,18.085
2008,Oklahoma St.,108.666,96.513,0.796,16,32,49.7,50.1,38.4,44.1,21.5,24.4,32.6,33.9,67.1,48.8,48.2,34.1,36.2,9.2,10.1,46.6,46.3,39.9,31.2,65.099,77.696,80.693,1.358,0.0,0.0,73.522,71.7,72.0,1.022,0.997,34.015
2008,Minnesota,108.113,96.045,0.796,20,34,50.2,48.5,35.0,39.5,21.6,25.1,36.0,33.9,65.7,47.5,47.4,36.7,33.6,12.8,9.4,63.0,60.6,35.6,37.3,65.573,76.953,80.524,1.785,0.0,0.0,53.343,67.6,71.9,1.04,0.963,27.339
2008,Washington,109.44,97.303,0.794,16,33,50.0,51.2,34.2,39.7,19.8,21.5,40.6,29.9,69.3,49.0,48.8,35.1,37.5,5.9,8.5,50.4,54.2,27.0,32.4,68.639,76.538,79.993,1.673,0.0,0.0,83.193,58.6,69.5,1.049,1.015,32.421
2008,UAB,109.618,97.636,0.791,23,34,52.2,46.8,39.0,37.1,20.4,19.8,32.2,30.6,68.5,49.9,45.1,37.5,33.6,8.6,9.2,55.1,47.1,35.8,31.4,67.194,76.621,80.319,1.646,0.0,0.0,37.66,70.7,65.0,1.059,0.968,20.645
2008,California,116.033,103.451,0.789,17,33,52.3,51.9,36.1,33.1,19.4,17.2,34.5,31.8,68.8,51.6,51.4,35.9,35.1,6.9,8.0,55.8,56.7,32.2,39.9,67.972,77.894,81.453,1.378,0.0,0.0,69.093,77.6,68.2,1.099,1.08,35.518
2008,Temple,111.943,99.805,0.789,21,34,54.1,49.1,35.3,31.8,19.1,19.3,28.5,32.4,65.7,53.3,46.5,36.9,35.7,12.2,7.1,59.5,57.1,39.4,37.2,63.86,77.301,80.991,1.786,-0.5,-0.507,21.698,74.0,72.4,1.084,1.03,23.095
2008,Wake Forest,106.887,95.351,0.788,17,30,48.3,49.1,34.0,36.8,19.6,23.9,33.9,33.8,71.0,49.2,47.1,31.1,35.1,14.2,7.8,46.2,53.1,33.4,35.9,69.038,77.129,81.464,0.814,0.0,0.0,74.768,65.7,67.3,1.008,0.969,28.244
2008,Kentucky,107.343,95.763,0.788,18,31,52.7,45.0,41.1,42.4,23.7,19.7,32.9,33.8,65.6,51.5,43.1,36.9,32.6,13.2,10.3,53.7,50.7,31.5,33.3,62.574,78.254,80.72,1.464,-0.3,-0.638,77.136,73.3,70.7,1.029,0.986,28.21
2008,VCU,103.463,92.391,0.786,24,32,49.6,42.1,40.1,38.0,20.5,22.9,34.6,32.9,65.2,46.4,42.9,37.6,26.9,14.3,8.9,54.2,53.5,32.8,30.0,63.751,76.079,79.515,1.514,0.0,0.0,33.43,67.7,69.7,1.031,0.899,15.369
2008,Houston,113.449,101.6,0.781,24,34,49.8,49.1,33.5,38.8,15.4,22.7,31.7,33.4,71.2,45.7,48.2,36.1,33.8,10.6,10.8,48.7,58.9,48.6,36.4,69.266,76.679,79.376,2.153,0.0,0.0,44.731,77.0,66.7,1.108,0.988,18.168
2008,Dayton,109.974,98.772,0.775,23,34,52.7,50.6,42.3,33.1,20.6,20.2,35.3,27.9,62.4,51.1,48.6,37.5,35.5,8.8,9.2,48.0,58.6,31.0,43.1,61.908,76.684,79.786,1.849,0.0,0.0,51.326,64.1,70.6,1.072,1.011,23.316
2008,Tulsa,106.345,95.718,0.77,25,39,50.4,46.0,38.0,31.5,22.8,18.1,36.4,29.5,66.4,49.0,44.6,35.3,32.8,15.0,10.3,51.7,51.4,34.5,31.9,64.419,77.058,81.036,1.854,0.0,0.0,30.495,72.7,66.4,1.038,0.961,20.774
2008,Creighton,107.137,96.505,0.769,21,32,51.6,48.0,33.3,36.7,21.2,22.8,32.5,31.7,66.4,49.8,45.2,36.2,35.6,10.4,8.5,57.1,55.0,40.6,34.7,66.242,76.134,79.591,1.462,0.0,0.0,21.922,71.6,72.4,1.042,0.975,24.137
2008,South Alabama,111.317,100.319,0.768,24,31,53.9,48.4,46.0,31.0,20.6,20.4,37.9,30.5,66.9,53.3,47.3,36.8,33.5,8.6,8.1,60.8,56.3,33.7,37.5,64.978,75.45,79.1,2.249,-0.4,-0.612,21.566,70.3,67.0,1.119,0.983,14.336
2008,Utah,109.912,99.248,0.764,17,32,53.8,47.8,31.1,40.4,19.6,18.1,26.9,25.0,63.6,51.4,44.8,38.8,35.7,9.8,5.4,59.2,54.0,35.7,34.0,62.666,77.63,82.454,1.726,0.0,0.0,26.367,75.6,73.3,1.058,0.998,24.492
2008,Alabama,110.277,99.974,0.755,17,33,51.4,50.2,33.5,33.9,18.5,20.2,36.5,31.9,69.2,50.0,48.3,36.3,35.5,12.3,8.0,56.2,53.9,31.8,37.7,66.888,77.313,80.159,1.551,0.0,0.0,79.379,62.0,71.9,1.072,1.037,25.493
2008,Rhode Island,113.942,103.325,0.755,21,33,53.1,49.5,39.2,33.6,19.4,21.1,37.2,34.5,72.0,51.2,47.5,38.0,35.3,10.3,7.2,52.3,52.5,32.0,35.7,70.255,77.423,80.047,2.018,0.0,0.0,24.183,69.3,71.1,1.114,1.029,19.477
2008,Bradley,111.863,101.546,0.753,21,38,52.3,50.8,36.4,37.8,20.2,21.7,31.2,33.4,68.7,49.3,49.2,37.4,36.0,6.5,9.9,64.1,53.5,43.4,33.2,68.735,75.532,78.51,1.982,0.0,0.0,13.069,74.4,70.1,1.063,1.033,23.327
2008,IU Indy,115.106,104.505,0.752,23,30,57.0,50.2,36.7,33.8,18.1,21.4,33.5,34.6,63.5,54.1,49.5,41.8,34.1,8.7,6.9,54.5,62.2,33.1,41.5,60.959,75.83,78.673,1.861,0.0,0.0,6.515,78.3,69.3,1.169,1.019,12.776
2008,Akron,109.4,99.363,0.751,24,35,51.9,49.8,39.3,36.7,19.5,24.8,33.9,34.4,65.0,47.9,50.2,38.6,32.6,7.9,9.2,56.0,50.9,40.4,32.0,63.387,76.216,79.242,2.2,0.0,0.0,0.701,70.3,69.1,1.08,0.972,16.468
2008,Oral Roberts,102.91,93.654,0.747,23,32,49.9,44.8,40.7,29.5,19.2,20.7,33.1,31.3,65.4,47.1,42.6,36.8,33.7,9.6,7.1,56.1,45.8,33.5,27.3,64.015,77.204,80.741,2.475,-0.4,-0.25,1.838,66.7,75.4,1.042,0.942,17.547
2008,Duquesne,107.935,98.311,0.745,17,30,51.7,48.1,39.6,35.9,21.4,24.3,37.1,37.1,76.0,54.2,45.4,31.6,36.0,17.4,11.6,63.3,60.8,36.5,31.2,74.429,76.261,80.137,1.815,0.0,0.0,13.698,73.7,69.7,1.084,0.975,20.205
2008,Missouri St.,108.011,98.471,0.743,16,32,50.7,49.6,34.8,35.2,22.3,22.6,35.2,32.5,64.9,48.6,46.6,36.6,36.5,11.5,8.6,59.6,56.7,33.4,37.1,65.204,75.712,78.349,2.323,0.0,0.0,21.275,71.6,71.5,1.032,0.998,22.765
2008,Virginia,111.13,101.5,0.739,17,33,50.3,52.0,35.3,33.2,19.4,18.8,36.1,28.6,71.3,47.6,50.1,36.6,36.7,6.4,9.4,50.6,56.8,37.0,38.3,68.321,77.198,80.16,1.71,0.0,0.0,57.579,70.5,66.5,1.066,1.039,28.071
2008,Providence,109.624,100.147,0.739,15,31,51.5,50.3,32.3,37.1,21.1,22.0,36.6,36.4,68.0,48.9,49.4,37.6,34.7,9.0,10.0,55.9,57.7,35.0,33.7,65.959,77.059,80.589,1.583,0.0,0.0,41.818,68.0,74.2,1.056,1.049,31.851
2008,George Mason,108.815,99.446,0.738,23,34,52.3,47.5,39.8,27.0,18.7,18.4,32.0,27.9,63.3,52.4,46.4,34.7,33.2,8.7,7.5,53.8,51.2,33.2,33.1,62.029,76.226,78.876,1.976,-0.4,-0.507,13.842,70.3,71.7,1.082,0.976,14.226
2008,Miami OH,106.967,97.987,0.733,17,33,51.5,48.6,30.9,30.9,20.0,20.3,31.1,33.2,59.4,50.6,48.0,35.6,33.2,9.8,8.2,54.4,46.6,31.8,33.9,58.047,76.348,78.628,1.898,0.0,0.0,1.285,70.1,66.3,1.033,1.001,25.508
2008,Texas Tech,106.022,97.242,0.73,15,30,50.2,51.0,47.6,34.8,19.9,21.8,26.3,33.0,69.8,48.4,48.8,36.7,36.8,6.6,8.9,52.3,46.7,26.7,34.0,68.305,76.422,79.815,1.723,0.0,0.0,23.317,70.4,69.0,1.0,1.003,32.922
2008,Charlotte,103.264,94.721,0.73,20,34,47.1,49.0,41.7,41.2,20.6,24.3,33.3,32.9,69.1,44.0,47.4,34.4,34.2,10.7,12.8,56.2,56.9,40.6,39.4,67.155,76.235,79.494,1.363,0.0,0.0,25.436,67.3,69.2,1.001,0.969,23.471
