Year,Team,Conf,AdjEM,AdjO,AdjD,AdjT,SOSEM,SOSO,SOSD
2023,Idaho St.,BSky,-11.74,93.8,105.6,65.6,-3.45,100.7,104.2
2023,Lehigh,Pat,-11.81,94.2,106.0,72.9,-5.33,99.0,104.3
2023,Manhattan,MAAC,-11.81,93.5,105.3,68.5,-4.79,99.2,104.0
2023,Oakland,Horz,-11.83,101.7,113.5,69.7,+1.42,103.2,101.8
2023,Northern Illinois,MAC,-11.92,95.6,107.6,71.0,-1.24,99.1,100.4
2023,North Alabama,ASun,-11.93,97.9,109.8,70.6,-4.40,98.2,102.6
2023,Western Michigan,MAC,-12.01,98.1,110.1,67.2,-2.02,101.1,103.2
2023,Dartmouth,Ivy,-12.06,93.1,105.2,70.2,-6.10,97.2,103.3
2023,Charleston Southern,BSth,-12.16,97.7,109.9,68.0,+3.26,105.1,101.8
2023,Maryland Eastern Shore,MEAC,-12.18,92.1,104.3,69.3,+4.30,103.5,99.2
2023,Monmouth,CAA,-12.38,94.3,106.7,69.7,+5.49,105.3,99.8
2023,North Dakota,Sum,-12.80,97.3,110.1,66.2,-2.83,101.0,103.8
2023,Central Arkansas,ASun,-12.84,98.3,111.1,73.0,-7.08,98.2,105.3
2023,UTSA,CUSA,-12.87,94.7,107.6,66.9,-11.73,94.5,106.3
2023,Bethune Cookman,SWAC,-12.93,96.2,109.1,66.9,-1.62,102.8,104.4
2023,New Hampshire,AE,-13.10,94.2,107.3,64.6,-5.15,98.3,103.4
2023,UT Rio Grande Valley,WAC,-13.30,98.4,111.7,73.6,-0.38,102.0,102.4
2023,Idaho,BSky,-13.43,97.6,111.0,65.6,-8.34,98.2,106.5
2023,Evansville,MVC,-13.52,90.5,104.0,68.9,-0.18,101.1,101.3
2023,Little Rock,OVC,-13.58,97.9,111.5,71.8,+4.40,104.2,99.8
2023,VMI,SC,-13.67,99.0,112.7,68.9,-0.99,102.2,103.2
2023,Alabama A&M,SWAC,-13.69,91.7,105.3,72.2,-4.81,101.2,106.0
2023,Hampton,CAA,-13.74,95.1,108.8,70.2,+1.42,102.9,101.5
2023,Albany,AE,-13.83,95.9,109.7,67.8,+1.97,103.0,101.1
