1,2,3,4,5,6,W,Exp Wins
68,62,52,38,24,18,12,3.0294117647058822
68,57,41,26,11,3,1,2.0441176470588234
68,56,38,19,5,3,1,1.7941176470588236
68,49,34,11,6,2,1,1.5147058823529411
68,38,20,8,5,2,0,1.0735294117647058
68,32,10,5,0,0,0,0.6911764705882353
68,39,12,4,3,1,1,0.8823529411764706
68,33,7,2,3,3,0,0.7058823529411765
68,31,5,4,2,0,0,0.6176470588235294
68,25,7,3,1,0,0,0.5294117647058824
68,32,16,6,4,0,0,0.8529411764705882
68,26,8,1,0,0,0,0.5147058823529411
68,15,2,0,0,0,0,0.25
68,8,0,0,0,0,0,0.11764705882352941
68,7,4,1,0,0,0,0.17647058823529413
68,2,0,0,0,0,0,0.029411764705882353
