Rk,Year,Team,Conf,NetRtg,Ortg,DRtg,AdjT,,,,,,,,,,
336,2025,Louisiana Monroe,SB,-15.17,95.4,110.6,67.3,,,,,,,,,,
337,2025,Stony Brook,CAA,-15.52,96.5,112.1,68.3,,,,,,,,,,
338,2025,LIU,NEC,-15.52,95.7,111.3,68.2,,,,,,,,,,
339,2025,Le Moyne,NEC,-15.8,96.1,111.9,69.2,,,,,,,,,,
340,2025,USC Upstate,BSth,-16.06,99.5,115.5,72.1,,,,,,,,,,
341,2025,VMI,SC,-16.14,97.3,113.4,68.3,,,,,,,,,,
342,2025,Fairleigh Dickinson,NEC,-16.39,100.2,116.6,71.6,,,,,,,,,,
343,2025,New Orleans,Slnd,-16.46,96.3,112.7,69.8,,,,,,,,,,
344,2025,West Georgia,ASun,-16.74,96,112.8,67.1,,,,,,,,,,
345,2025,Florida A&M,SWAC,-16.77,92.9,109.6,69.5,,,,,,,,,,
346,2025,Delaware St.,MEAC,-17,95.6,112.6,70.5,,,,,,,,,,
347,2025,Morgan St.,MEAC,-17.07,97.4,114.5,71.2,,,,,,,,,,
348,2025,NJIT,AE,-17.34,95,112.3,65,,,,,,,,,,
349,2025,Northern Illinois,MAC,-17.58,94.5,112,69.7,,,,,,,,,,
350,2025,IU Indy,Horz,-17.79,100,117.8,66,,,,,,,,,,
351,2025,Houston Christian,Slnd,-18.12,97.7,115.9,65.9,,,,,,,,,,
352,2025,Lindenwood,OVC,-18.26,94.4,112.7,67.9,,,,,,,,,,
353,2025,East Texas A&M,Slnd,-18.67,92.3,111,68.5,,,,,,,,,,
354,2025,Mercyhurst,NEC,-18.76,96.4,115.1,64.1,,,,,,,,,,
355,2025,Canisius,MAAC,-18.82,98,116.8,66.8,,,,,,,,,,
356,2025,Alcorn St.,SWAC,-18.9,95.6,114.5,65.8,,,,,,,,,,
357,2025,Prairie View A&M,SWAC,-19.6,98.9,118.5,72.7,,,,,,,,,,
358,2025,Alabama A&M,SWAC,-20.04,93.4,113.5,71.3,,,,,,,,,,
359,2025,Maryland Eastern Shore,MEAC,-20.88,96.1,117,67.7,,,,,,,,,,
360,2025,New Hampshire,AE,-20.9,90.6,111.5,67.8,,,,,,,,,,
361,2025,Chicago St.,NEC,-20.96,91.8,112.7,70.3,,,,,,,,,,
362,2025,Arkansas Pine Bluff,SWAC,-22.72,98.3,121,71.5,,,,,,,,,,
363,2025,Coppin St.,MEAC,-27.11,86.9,114,66.8,,,,,,,,,,
364,2025,Mississippi Valley St.,SWAC,-30.09,87,117.1,64.9,,,,,,,,,,
