,PASE
Pepperdine,-0.2728174603174603
Pittsburgh,-0.5098684210526315
Portland,-0.1666666666666666
Portland St.,-0.13194444444444442
Prairie View A&M,-0.0069444444444444
Princeton,-0.22916666666666663
Providence,-0.013888888888888869
Purdue,-0.28883744855967075
Radford,0.3263888888888889
Rhode Island,0.4712301587301587
Richmond,0.3289930555555556
Rider,-0.04513888888888885
Robert Morris,0.1215277777777778
Rutgers,-0.1550925925925926
SMU,-0.5555555555555556
Saint Joseph's,-0.1753472222222222
Saint Louis,-0.14756944444444445
Saint Mary's,-0.2013888888888889
Saint Peter's,-0.2546296296296296
Sam Houston St.,-0.12499999999999994
Samford,-0.21180555555555552
San Diego,-0.03472222222222221
San Diego St.,-0.33796296296296285
San Francisco,-0.1666666666666666
San Jose St.,-0.0069444444444444
Santa Clara,0.17534722222222227
Seton Hall,0.16773504273504272
Siena,0.4108796296296297
South Alabama,-0.24189814814814814
South Carolina,-0.44722222222222213
South Carolina St.,-0.05277777777777774
South Dakota St.,-0.3628472222222222
South Florida,0.2546296296296297
Southeast Missouri St.,-0.2569444444444444
Southeastern Louisiana,-0.0833333333333333
Southern,0.06746031746031748
Southern Illinois,-0.14969135802469133
Southern Miss,-0.4953703703703704
Southern Utah,-0.1666666666666666
St. Bonaventure,-0.22743055555555552
St. Francis PA,-0.0833333333333333
St. John's,-0.3849206349206349
Stanford,-0.3098958333333333
Stephen F. Austin,0.09444444444444448
Stony Brook,-0.2569444444444444
Syracuse,0.34626436781609193
TCU,-0.9004629629629629
Temple,0.004227053140096594
Tennessee,-0.13981481481481478
Tennessee St.,-0.12499999999999994
Texas,-0.0802469135802469
Texas A&M,0.13040123456790123
Texas A&M Corpus Chris,-0.0833333333333333
Texas Southern,0.22321428571428575
Texas St.,-0.04513888888888885
Texas Tech,0.11458333333333327
Towson,-0.0069444444444444
Troy,-0.12499999999999994
Tulane,0.38425925925925924
Tulsa,0.23437500000000003
UAB,-0.06319444444444443
UC Davis,0.9930555555555556
UC Irvine,0.24305555555555558
UC Santa Barbara,-0.1759259259259259
UCF,0.02916666666666671
UCLA,0.423076923076923
UMBC,0.45486111111111116
UNC Asheville,0.47395833333333337
UNC Greensboro,-0.15104166666666663
UNC Wilmington,-0.22337962962962962
UNLV,0.03425925925925925
USC,-0.01041666666666661
UT Arlington,-0.0069444444444444
UTEP,-0.12916666666666662
UTSA,0.20312500000000006
Utah,0.15147569444444445
Utah St.,-0.3900462962962963
VCU,-0.08978174603174607
Valparaiso,0.023148148148148178
Vanderbilt,-0.30497685185185186
Vermont,0.16071428571428575
Villanova,0.1099537037037037
Virginia,-0.41666666666666663
Virginia Tech,-0.3289930555555556
Wagner,-0.0833333333333333
Wake Forest,-0.4027777777777778
Washington,-0.09154040404040406
Washington St.,-0.35648148148148157
Weber St.,0.1631944444444445
West Virginia,0.17606209150326796
Western Carolina,-0.0069444444444444
Western Kentucky,0.28067129629629634
Western Michigan,-0.1481481481481481
Wichita St.,0.051136363636363674
Winthrop,-0.12191358024691354
Wisconsin,0.28894927536231885
Wofford,-0.18472222222222218
Wright St.,-0.11342592592592586
Wyoming,0.10763888888888892
Xavier,0.13583333333333333
Yale,0.15972222222222227
