Year,Round,Region,Game,AFSeed,AFTeam,AFScore,AUSeed,AUTeam,AUScore
1986,1,SE,30,3,Notre Dame,83,14,Little Rock,90
1986,1,SE,31,7,Iowa St.,81,10,Miami OH,79
1986,1,SE,32,2,Michigan,70,15,Akron,64
1986,2,NW,33,1,Kentucky,71,8,Western Kentucky,64
1986,2,NW,34,4,Illinois,56,5,Alabama,58
1986,2,NW,35,3,Memphis,81,11,LSU,83
1986,2,NW,36,2,Georgia Tech,66,10,Villanova,61
1986,2,SW,37,1,St. John's,65,8,Auburn,81
1986,2,SW,38,4,UNLV,70,5,Maryland,64
1986,2,SW,39,3,North Carolina,77,6,UAB,59
1986,2,SW,40,2,Louisville,82,7,Bradley,68
1986,2,NE,41,1,Duke,89,8,Old Dominion,61
1986,2,NE,42,4,Oklahoma,69,12,DePaul,74
1986,2,NE,43,6,Saint Joseph's,69,14,Cleveland St.,75
1986,2,NE,44,2,Syracuse,85,7,Navy,97
1986,2,SE,45,1,Kansas,65,9,Temple,43
1986,2,SE,46,4,Georgetown,68,5,Michigan St.,80
1986,2,SE,47,6,North Carolina St.,80,14,Little Rock,66
1986,2,SE,48,2,Michigan,69,7,Iowa St.,72
1986,3,NW,49,1,Kentucky,68,5,Alabama,63
1986,3,NW,50,2,Georgia Tech,64,11,LSU,70
1986,3,SW,51,4,UNLV,63,8,Auburn,70
1986,3,SW,52,2,Louisville,94,3,North Carolina,79
1986,3,NE,53,1,Duke,74,12,DePaul,67
1986,3,NE,54,7,Navy,71,14,Cleveland St.,70
1986,3,SE,55,1,Kansas,96,5,Michigan St.,86
1986,3,SE,56,6,North Carolina St.,70,7,Iowa St.,66
1986,4,NW,57,1,Kentucky,57,11,LSU,59
1986,4,SW,58,2,Louisville,84,8,Auburn,76
1986,4,NE,59,1,Duke,71,7,Navy,50
1986,4,SE,60,1,Kansas,75,6,North Carolina St.,67
1986,5,F4,61,2,Louisville,88,11,LSU,77
1986,5,F4,62,1,Duke,71,1,Kansas,67
1986,6,Champ,63,1,Duke,69,2,Louisville,72
1987,1,NW,1,1,UNLV,95,16,Idaho St.,70
1987,1,NW,2,8,Georgia,79,9,Kansas St.,82
1987,1,NW,3,5,Virginia,60,12,Wyoming,64
1987,1,NW,4,4,UCLA,92,13,Central Michigan,73
1987,1,NW,5,6,Oklahoma,74,11,Tulsa,69
1987,1,NW,6,3,Pittsburgh,93,14,Marist,68
1987,1,NW,7,7,UTEP,98,10,Arizona,91
1987,1,NW,8,2,Iowa,99,15,Santa Clara,76
1987,1,SW,9,1,Indiana,92,16,Fairfield,58
1987,1,SW,10,8,Auburn,62,9,San Diego,61
1987,1,SW,11,5,Duke,58,12,Texas A&M,51
1987,1,SW,12,4,Missouri,69,13,Xavier,70
1987,1,SW,13,6,St. John's,57,11,Wichita St.,55
1987,1,SW,14,3,DePaul,76,14,Louisiana Tech,62
1987,1,SW,15,7,Georgia Tech,79,10,LSU,85
1987,1,SW,16,2,Temple,75,15,Southern,56
1987,1,NE,17,1,Georgetown,75,16,Bucknell,53
1987,1,NE,18,8,Kentucky,77,9,Ohio St.,91
1987,1,NE,19,5,Kansas,66,12,Houston,55
1987,1,NE,20,4,Clemson,60,13,Missouri St.,65
1987,1,NE,21,6,Providence,90,11,UAB,68
1987,1,NE,22,3,Illinois,67,14,Austin Peay,68
1987,1,NE,23,7,New Orleans,83,10,BYU,79
1987,1,NE,24,2,Alabama,88,15,North Carolina A&T,71
1987,1,SE,25,1,North Carolina,113,16,Penn,82
1987,1,SE,26,8,Navy,82,9,Michigan,97
1987,1,SE,27,5,Notre Dame,84,12,Middle Tennessee,71
1987,1,SE,28,4,TCU,76,13,Marshall,60
1987,1,SE,29,6,Florida,82,11,North Carolina St.,70
1987,1,SE,30,3,Purdue,104,14,Northeastern,95
1987,1,SE,31,7,West Virginia,62,10,Western Kentucky,64
1987,1,SE,32,2,Syracuse,79,15,Georgia Southern,73
1987,2,NW,33,1,UNLV,80,9,Kansas St.,61
1987,2,NW,34,4,UCLA,68,12,Wyoming,78
1987,2,NW,35,3,Pittsburgh,93,6,Oklahoma,96
1987,2,NW,36,2,Iowa,84,7,UTEP,82
1987,2,SW,37,1,Indiana,107,8,Auburn,90
1987,2,SW,38,5,Duke,65,13,Xavier,60
1987,2,SW,39,3,DePaul,83,6,St. John's,75
1987,2,SW,40,2,Temple,62,10,LSU,72
1987,2,NE,41,1,Georgetown,82,9,Ohio St.,79
1987,2,NE,42,5,Kansas,67,13,Missouri St.,63
1987,2,NE,43,6,Providence,90,14,Austin Peay,87
1987,2,NE,44,2,Alabama,101,7,New Orleans,76
1987,2,SE,45,1,North Carolina,109,9,Michigan,97
1987,2,SE,46,4,TCU,57,5,Notre Dame,58
1987,2,SE,47,3,Purdue,66,6,Florida,85
1987,2,SE,48,2,Syracuse,104,10,Western Kentucky,86
1987,3,NW,49,1,UNLV,92,12,Wyoming,78
1987,3,NW,50,2,Iowa,93,6,Oklahoma,91
1987,3,SW,51,1,Indiana,88,5,Duke,82
1987,3,SW,52,3,DePaul,58,10,LSU,63
1987,3,NE,53,1,Georgetown,70,5,Kansas,57
1987,3,NE,54,2,Alabama,82,6,Providence,103
1987,3,SE,55,1,North Carolina,74,5,Notre Dame,68
1987,3,SE,56,2,Syracuse,87,6,Florida,81
1987,4,NW,57,1,UNLV,84,2,Iowa,81
1987,4,SW,58,1,Indiana,77,10,LSU,76
1987,4,NE,59,1,Georgetown,73,6,Providence,88
1987,4,SE,60,1,North Carolina,75,2,Syracuse,79
1987,5,F4,61,1,Indiana,97,1,UNLV,93
1987,5,F4,62,2,Syracuse,77,6,Providence,63
1987,6,Champ,63,1,Indiana,74,2,Syracuse,73
1988,1,NW,1,1,Purdue,94,16,Fairleigh Dickinson,79
1988,1,NW,2,8,Baylor,60,9,Memphis,75
1988,1,NW,3,5,DePaul,83,12,Wichita St.,62
1988,1,NW,4,4,Kansas St.,66,13,La Salle,53
1988,1,NW,5,6,Kansas,85,11,Xavier,72
1988,1,NW,6,3,North Carolina St.,75,14,Murray St.,78
1988,1,NW,7,7,Vanderbilt,80,10,Utah St.,77
1988,1,NW,8,2,Pittsburgh,108,15,Eastern Michigan,90
1988,1,SW,9,1,Temple,87,16,Lehigh,73
1988,1,SW,10,8,Georgetown,66,9,LSU,63
1988,1,SW,11,5,Georgia Tech,90,12,Iowa St.,78
1988,1,SW,12,4,Indiana,69,13,Richmond,72
1988,1,SW,13,6,Missouri,80,11,Rhode Island,87
1988,1,SW,14,3,Syracuse,69,14,North Carolina A&T,55
1988,1,SW,15,7,SMU,83,10,Notre Dame,75
1988,1,SW,16,2,Duke,85,15,Boston University,69
1988,1,NE,17,1,Arizona,90,16,Cornell,50
1988,1,NE,18,8,Seton Hall,80,9,UTEP,64
1988,1,NE,19,5,Iowa,102,12,Florida St.,98
1988,1,NE,20,4,UNLV,54,13,Missouri St.,50
1988,1,NE,21,6,Florida,62,11,St. John's,59
1988,1,NE,22,3,Michigan,63,14,Boise St.,58
1988,1,NE,23,7,Wyoming,115,10,Loyola Marymount,119
1988,1,NE,24,2,North Carolina,83,15,North Texas,65
1988,1,SE,25,1,Oklahoma,94,16,Chattanooga,66
1988,1,SE,26,8,Auburn,90,9,Bradley,86
1988,1,SE,27,5,Louisville,70,12,Oregon St.,61
1988,1,SE,28,4,BYU,98,13,Charlotte,92
1988,1,SE,29,6,Villanova,82,11,Arkansas,74
1988,1,SE,30,3,Illinois,81,14,UTSA,72
1988,1,SE,31,7,Maryland,92,10,UC Santa Barbara,82
1988,1,SE,32,2,Kentucky,99,15,Southern,84
1988,2,NW,33,1,Purdue,100,9,Memphis,73
1988,2,NW,34,4,Kansas St.,66,5,DePaul,58
1988,2,NW,35,6,Kansas,61,14,Murray St.,58
1988,2,NW,36,2,Pittsburgh,74,7,Vanderbilt,80
1988,2,SW,37,1,Temple,74,8,Georgetown,53
1988,2,SW,38,5,Georgia Tech,55,13,Richmond,59
1988,2,SW,39,3,Syracuse,94,11,Rhode Island,97
1988,2,SW,40,2,Duke,94,7,SMU,79
1988,2,NE,41,1,Arizona,84,8,Seton Hall,55
1988,2,NE,42,4,UNLV,86,5,Iowa,104
1988,2,NE,43,3,Michigan,108,6,Florida,85
1988,2,NE,44,2,North Carolina,123,10,Loyola Marymount,97
1988,2,SE,45,1,Oklahoma,107,8,Auburn,87
1988,2,SE,46,4,BYU,76,5,Louisville,97
1988,2,SE,47,3,Illinois,63,6,Villanova,66
1988,2,SE,48,2,Kentucky,90,7,Maryland,81
1988,3,NW,49,1,Purdue,70,4,Kansas St.,73
1988,3,NW,50,6,Kansas,77,7,Vanderbilt,64
1988,3,SW,51,1,Temple,69,13,Richmond,47
1988,3,SW,52,2,Duke,73,11,Rhode Island,72
1988,3,NE,53,1,Arizona,99,5,Iowa,79
1988,3,NE,54,2,North Carolina,78,3,Michigan,69
1988,3,SE,55,1,Oklahoma,108,5,Louisville,98
1988,3,SE,56,2,Kentucky,74,6,Villanova,80
1988,4,NW,57,4,Kansas St.,58,6,Kansas,71
1988,4,SW,58,1,Temple,53,2,Duke,63
1988,4,NE,59,1,Arizona,70,2,North Carolina,52
1988,4,SE,60,1,Oklahoma,78,6,Villanova,59
1988,5,F4,61,2,Duke,59,6,Kansas,66
1988,5,F4,62,1,Oklahoma,86,1,Arizona,78
1988,6,Champ,63,1,Oklahoma,79,6,Kansas,83
1989,1,NW,1,1,Illinois,77,16,McNeese St.,71
1989,1,NW,2,8,Pittsburgh,64,9,Ball St.,68
1989,1,NW,3,5,Arkansas,120,12,Loyola Marymount,101
1989,1,NW,4,4,Louisville,76,13,Little Rock,71
1989,1,NW,5,6,Georgia Tech,70,11,Texas,76
1989,1,NW,6,3,Missouri,85,14,Creighton,69
1989,1,NW,7,7,Florida,46,10,Colorado St.,68
1989,1,NW,8,2,Syracuse,104,15,Bucknell,81
1989,1,SW,9,1,Oklahoma,72,16,East Tennessee St.,71
1989,1,SW,10,8,La Salle,74,9,Louisiana Tech,83
1989,1,SW,11,5,Virginia,100,12,Providence,97
1989,1,SW,12,4,Florida St.,83,13,Middle Tennessee,97
1989,1,SW,13,6,Alabama,84,11,South Alabama,86
1989,1,SW,14,3,Michigan,92,14,Xavier,87
1989,1,SW,15,7,UCLA,84,10,Iowa St.,74
1989,1,SW,16,2,North Carolina,93,15,Southern,79
1989,1,NE,17,1,Georgetown,50,16,Princeton,49
1989,1,NE,18,8,Vanderbilt,65,9,Notre Dame,81
1989,1,NE,19,5,North Carolina St.,81,12,South Carolina,66
1989,1,NE,20,4,Iowa,87,13,Rutgers,73
1989,1,NE,21,6,Kansas St.,75,11,Minnesota,86
1989,1,NE,22,3,Stanford,78,14,Siena,80
1989,1,NE,23,7,West Virginia,84,10,Tennessee,68
1989,1,NE,24,2,Duke,90,15,South Carolina St.,69
1989,1,SE,25,1,Arizona,94,16,Robert Morris,60
1989,1,SE,26,8,Saint Mary's,70,9,Clemson,83
1989,1,SE,27,5,Memphis,63,12,DePaul,66
1989,1,SE,28,4,UNLV,68,13,Idaho,56
1989,1,SE,29,6,Oregon St.,90,11,Evansville,94
1989,1,SE,30,3,Seton Hall,60,14,Missouri St.,51
1989,1,SE,31,7,UTEP,85,10,LSU,74
1989,1,SE,32,2,Indiana,99,15,George Mason,85
1989,2,NW,33,1,Illinois,72,9,Ball St.,60
1989,2,NW,34,4,Louisville,93,5,Arkansas,84
1989,2,NW,35,3,Missouri,108,11,Texas,89
1989,2,NW,36,2,Syracuse,65,10,Colorado St.,50
1989,2,SW,37,1,Oklahoma,124,9,Louisiana Tech,81
1989,2,SW,38,5,Virginia,104,13,Middle Tennessee,88
1989,2,SW,39,3,Michigan,91,11,South Alabama,82
1989,2,SW,40,2,North Carolina,88,7,UCLA,81
1989,2,NE,41,1,Georgetown,81,9,Notre Dame,74
1989,2,NE,42,4,Iowa,96,5,North Carolina St.,102
1989,2,NE,43,11,Minnesota,80,14,Siena,67
1989,2,NE,44,2,Duke,70,7,West Virginia,63
1989,2,SE,45,1,Arizona,94,9,Clemson,68
1989,2,SE,46,4,UNLV,85,12,DePaul,70
1989,2,SE,47,3,Seton Hall,87,11,Evansville,73
1989,2,SE,48,2,Indiana,92,7,UTEP,69
1989,3,NW,49,1,Illinois,83,4,Louisville,69
1989,3,NW,50,2,Syracuse,83,3,Missouri,80
1989,3,SW,51,1,Oklahoma,80,5,Virginia,86
1989,3,SW,52,2,North Carolina,87,3,Michigan,92
1989,3,NE,53,1,Georgetown,69,5,North Carolina St.,61
1989,3,NE,54,2,Duke,87,11,Minnesota,70
1989,3,SE,55,1,Arizona,67,4,UNLV,68
1989,3,SE,56,2,Indiana,65,3,Seton Hall,78
1989,4,NW,57,1,Illinois,89,2,Syracuse,86
1989,4,SW,58,3,Michigan,102,5,Virginia,65
1989,4,NE,59,1,Georgetown,77,2,Duke,85
1989,4,SE,60,3,Seton Hall,84,4,UNLV,61
1989,5,F4,61,1,Illinois,81,3,Michigan,83
1989,5,F4,62,2,Duke,78,3,Seton Hall,95
1989,6,Champ,63,3,Michigan,80,3,Seton Hall,79
1990,1,NW,1,1,Michigan St.,75,16,Murray St.,71
1990,1,NW,2,8,Houston,66,9,UC Santa Barbara,70
1990,1,NW,3,5,LSU,70,12,Villanova,63
1990,1,NW,4,4,Georgia Tech,99,13,East Tennessee St.,83
1990,1,NW,5,6,Minnesota,64,11,UTEP,61
1990,1,NW,6,3,Missouri,71,14,Northern Iowa,74
1990,1,NW,7,7,Virginia,75,10,Notre Dame,67
1990,1,NW,8,2,Syracuse,70,15,Coppin St.,48
1990,1,SW,9,1,UNLV,102,16,Little Rock,72
1990,1,SW,10,8,Ohio St.,84,9,Providence,83
1990,1,SW,11,5,Oregon St.,53,12,Ball St.,54
1990,1,SW,12,4,Louisville,78,13,Idaho,59
1990,1,SW,13,6,New Mexico St.,92,11,Loyola Marymount,111
1990,1,SW,14,3,Michigan,76,14,Illinois St.,70
1990,1,SW,15,7,Alabama,71,10,Colorado St.,54
1990,1,SW,16,2,Arizona,79,15,South Florida,67
1990,1,NE,17,1,Connecticut,76,16,Boston University,52
1990,1,NE,18,8,Indiana,63,9,California,65
1990,1,NE,19,5,Clemson,49,12,BYU,47
1990,1,NE,20,4,La Salle,79,13,Southern Miss,63
1990,1,NE,21,6,St. John's,81,11,Temple,65
1990,1,NE,22,3,Duke,81,14,Richmond,46
1990,1,NE,23,7,UCLA,68,10,UAB,56
1990,1,NE,24,2,Kansas,79,15,Robert Morris,71
1990,1,SE,25,1,Oklahoma,77,16,Towson,68
1990,1,SE,26,8,North Carolina,83,9,Missouri St.,70
1990,1,SE,27,5,Illinois,86,12,Dayton,88
1990,1,SE,28,4,Arkansas,68,13,Princeton,64
1990,1,SE,29,6,Xavier,87,11,Kansas St.,79
1990,1,SE,30,3,Georgetown,70,14,Texas Southern,52
1990,1,SE,31,7,Georgia,88,10,Texas,100
1990,1,SE,32,2,Purdue,75,15,Louisiana Monroe,63
1990,2,NW,33,1,Michigan St.,62,9,UC Santa Barbara,58
1990,2,NW,34,4,Georgia Tech,94,5,LSU,91
1990,2,NW,35,6,Minnesota,81,14,Northern Iowa,78
1990,2,NW,36,2,Syracuse,63,7,Virginia,61
1990,2,SW,37,1,UNLV,76,8,Ohio St.,65
1990,2,SW,38,4,Louisville,60,12,Ball St.,62
