,Year,Round,Region,Game,AFSeed,AFTeam,AFScore,AUSeed,AUTeam,AUScore,PFSeed,PFTeam,PFScore,PUSeed,PUTeam,PUScore,Team_x,Conf_x,AdjEM_x,AdjO_x,AdjD_x,AdjT_x,SOSEM_x,SOSO_x,SOSD_x,BPIO_x,BPID_x,W_x,L_x,Pts_x,Opp_x,MOV_x,SOS_x,OSRS_x,DSRS_x,SRS_x,PASE_x,Team_y,Conf_y,AdjEM_y,AdjO_y,AdjD_y,AdjT_y,SOSEM_y,SOSO_y,SOSD_y,BPIO_y,BPID_y,W_y,L_y,Pts_y,Opp_y,MOV_y,SOS_y,OSRS_y,DSRS_y,SRS_y,PASE_y
12,2008,1,SW,13,6,USC,67,11,Kansas St.,80,6,USC,67,11,Kansas St.,80,USC,P10,18.67,110.5,91.9,65.2,11.18,109.7,98.5,4.9,7.1,21.0,12.0,69.0,63.7,5.3,8.59,5.35,8.54,13.89,-0.0104166666666666,Kansas St.,B12,18.9,114.2,95.3,69.7,9.09,108.0,98.9,8.6,1.1,21.0,12.0,78.0,68.9,9.09,7.79,12.61,3.17,15.79,-0.0777777777777777
13,2008,1,SW,14,3,Wisconsin,71,14,Cal St. Fullerton,56,3,Wisconsin,71,14,Cal St. Fullerton,56,Wisconsin,B10,26.68,113.5,86.8,61.1,7.35,107.1,99.8,2.1,14.4,31.0,5.0,67.3,54.4,12.86,6.73,2.83,16.76,19.59,0.2889492753623188,Cal St. Fullerton,BW,8.47,112.3,103.9,71.6,-3.95,101.5,105.5,9.6,-4.9,24.0,9.0,81.8,72.7,9.15,-3.06,11.86,-6.23,5.64,-0.1249999999999999
14,2008,1,SW,15,7,Gonzaga,76,10,Davidson,82,7,Gonzaga,76,10,Davidson,82,Gonzaga,WCC,19.05,114.5,95.5,65.9,2.57,104.0,101.5,8.1,2.9,25.0,8.0,76.5,63.8,12.67,2.15,9.29,5.52,14.81,0.2361111111111111,Davidson,SC,23.61,117.0,93.4,66.2,3.36,105.2,101.8,9.5,5.3,29.0,7.0,77.9,63.2,14.69,1.66,8.49,5.44,13.93,0.0055555555555556
15,2008,1,SW,16,2,Georgetown,66,15,UMBC,47,2,Georgetown,66,15,UMBC,47,Georgetown,BE,25.56,115.2,89.7,60.5,8.48,108.2,99.8,4.3,12.9,28.0,6.0,69.6,58.1,11.5,7.23,4.06,14.67,18.73,-0.1335227272727272,UMBC,AE,3.86,113.2,109.3,63.7,-4.31,100.7,105.0,4.5,-2.2,24.0,9.0,74.2,68.4,5.82,-4.53,4.01,-3.94,0.06,0.4548611111111111
16,2008,1,NE,17,1,Memphis,87,16,UT Arlington,63,1,Memphis,87,16,UT Arlington,63,Memphis,CUSA,31.51,118.0,86.5,68.1,5.83,107.0,101.1,11.3,8.0,38.0,2.0,79.9,61.9,17.98,5.76,13.46,10.28,23.73,0.0543981481481481,UT Arlington,Slnd,-2.31,101.3,103.6,68.6,-4.81,99.5,104.3,0.8,-2.4,21.0,12.0,73.4,68.9,4.48,-4.62,1.13,-4.0,-2.87,-0.0069444444444444
17,2008,1,NE,18,8,Mississippi St.,76,9,Oregon,69,8,Mississippi St.,76,9,Oregon,69,Mississippi St.,SEC,16.77,108.2,91.5,66.6,6.22,108.1,101.8,5.5,5.5,23.0,11.0,73.2,65.5,7.68,5.74,5.74,7.68,13.42,-0.1347222222222222,Oregon,P10,15.66,118.8,103.1,65.8,10.56,108.9,98.4,11.0,-1.1,18.0,14.0,76.6,72.5,4.03,7.65,12.03,-0.35,11.68,0.3675213675213676
18,2008,1,NE,19,5,Michigan St.,72,12,Temple,61,5,Michigan St.,72,12,Temple,61,Michigan St.,B10,21.15,115.8,94.7,63.3,8.71,108.2,99.5,5.8,7.8,27.0,9.0,71.2,62.6,8.64,7.68,7.0,9.32,16.32,0.3840996168582376,Temple,A10,12.37,112.8,100.4,63.6,6.08,107.4,101.3,4.7,2.3,21.0,13.0,72.3,68.7,3.59,4.57,5.05,3.11,8.16,0.0042270531400965
19,2008,1,NE,20,4,Pittsburgh,82,13,Oral Roberts,63,4,Pittsburgh,82,13,Oral Roberts,63,Pittsburgh,BE,19.91,116.5,96.6,63.9,9.52,107.8,98.3,7.2,6.0,27.0,10.0,73.8,65.1,8.68,7.84,8.0,7.63,15.62,-0.5098684210526315,Oral Roberts,Sum,10.27,104.7,94.5,63.6,-0.01,105.4,105.4,-0.9,6.5,24.0,9.0,69.2,62.0,7.12,-0.26,-0.99,6.7,5.71,0.3715277777777778
20,2008,1,NE,21,6,Marquette,74,11,Kentucky,66,6,Marquette,74,11,Kentucky,66,Marquette,BE,22.16,115.3,93.1,66.6,8.62,107.9,99.3,8.3,5.9,25.0,10.0,75.9,64.8,11.11,8.09,11.23,7.39,18.62,-0.1158854166666666,Kentucky,SEC,10.01,107.8,97.8,62.4,6.74,107.4,100.7,1.0,6.4,18.0,13.0,68.5,65.6,2.9,7.09,1.44,7.75,9.19,0.5150462962962964
21,2008,1,NE,22,3,Stanford,77,14,Cornell,53,3,Stanford,77,14,Cornell,53,Stanford,P10,22.75,113.6,90.9,63.4,9.32,109.1,99.7,5.5,8.6,28.0,8.0,70.9,61.6,9.36,6.95,5.6,10.71,16.31,-0.3098958333333333,Cornell,Ivy,4.41,110.1,105.7,67.9,-6.93,99.1,106.0,6.2,-2.5,22.0,6.0,76.3,68.5,7.82,-4.74,6.17,-5.41,0.76,0.2864583333333334
