,Year,Round,Region,Game,AFSeed,AFTeam,AFScore,AUSeed,AUTeam,AUScore,PFSeed,PFTeam,PFScore,PUSeed,PUTeam,PUScore,Team_x,Conf_x,AdjEM_x,AdjO_x,AdjD_x,AdjT_x,SOSEM_x,SOSO_x,SOSD_x,BPIO_x,BPID_x,W_x,L_x,Pts_x,Opp_x,MOV_x,SOS_x,OSRS_x,DSRS_x,SRS_x,PASE_x,Team_y,Conf_y,AdjEM_y,AdjO_y,AdjD_y,AdjT_y,SOSEM_y,SOSO_y,SOSD_y,BPIO_y,BPID_y,W_y,L_y,Pts_y,Opp_y,MOV_y,SOS_y,OSRS_y,DSRS_y,SRS_y,PASE_y,AWSeed,AWTeam,PWSeed,PWTeam,ESPN
11,2008,1,SW,12,4,Vanderbilt,62,13,Siena,83,4,Vanderbilt,70.93123026999992,13,Siena,75.1560751,Vanderbilt,SEC,12.65,112.3,99.6,68.2,5.2,107.4,102.2,10.0,-1.6,26.0,8.0,80.0,74.6,5.41,5.54,12.11,-1.16,10.96,-0.3049768518518518,Siena,MAAC,7.99,108.6,100.7,67.6,-1.41,104.1,105.5,6.1,-1.0,23.0,11.0,76.9,71.2,5.68,-1.62,5.61,-1.55,4.06,0.4108796296296297,13.0,Siena,13.0,Siena,10.0
12,2008,1,SW,13,6,USC,67,11,Kansas St.,80,6,USC,66.09555655999992,11,Kansas St.,70.12825139999995,USC,P10,18.67,110.5,91.9,65.2,11.18,109.7,98.5,4.9,7.1,21.0,12.0,69.0,63.7,5.3,8.59,5.35,8.54,13.89,-0.0104166666666666,Kansas St.,B12,18.9,114.2,95.3,69.7,9.09,108.0,98.9,8.6,1.1,21.0,12.0,78.0,68.9,9.09,7.79,12.61,3.17,15.79,-0.0777777777777777,11.0,Kansas St.,11.0,Kansas St.,10.0
13,2008,1,SW,14,3,Wisconsin,71,14,Cal St. Fullerton,56,3,Wisconsin,74.94617370999991,14,Cal St. Fullerton,67.72200159999997,Wisconsin,B10,26.68,113.5,86.8,61.1,7.35,107.1,99.8,2.1,14.4,31.0,5.0,67.3,54.4,12.86,6.73,2.83,16.76,19.59,0.2889492753623188,Cal St. Fullerton,BW,8.47,112.3,103.9,71.6,-3.95,101.5,105.5,9.6,-4.9,24.0,9.0,81.8,72.7,9.15,-3.06,11.86,-6.23,5.64,-0.1249999999999999,3.0,Wisconsin,3.0,Wisconsin,10.0
14,2008,1,SW,15,7,Gonzaga,76,10,Davidson,82,7,Gonzaga,69.28277271999993,10,Davidson,69.94540079999996,Gonzaga,WCC,19.05,114.5,95.5,65.9,2.57,104.0,101.5,8.1,2.9,25.0,8.0,76.5,63.8,12.67,2.15,9.29,5.52,14.81,0.2361111111111111,Davidson,SC,23.61,117.0,93.4,66.2,3.36,105.2,101.8,9.5,5.3,29.0,7.0,77.9,63.2,14.69,1.66,8.49,5.44,13.93,0.0055555555555556,10.0,Davidson,10.0,Davidson,10.0
15,2008,1,SW,16,2,Georgetown,66,15,UMBC,47,2,Georgetown,68.61975655999994,15,UMBC,67.22135099999996,Georgetown,BE,25.56,115.2,89.7,60.5,8.48,108.2,99.8,4.3,12.9,28.0,6.0,69.6,58.1,11.5,7.23,4.06,14.67,18.73,-0.1335227272727272,UMBC,AE,3.86,113.2,109.3,63.7,-4.31,100.7,105.0,4.5,-2.2,24.0,9.0,74.2,68.4,5.82,-4.53,4.01,-3.94,0.06,0.4548611111111111,2.0,Georgetown,2.0,Georgetown,10.0
16,2008,1,NE,17,1,Memphis,87,16,UT Arlington,63,1,Memphis,72.49202621999986,16,UT Arlington,70.71555433999994,Memphis,CUSA,31.51,118.0,86.5,68.1,5.83,107.0,101.1,11.3,8.0,38.0,2.0,79.9,61.9,17.98,5.76,13.46,10.28,23.73,0.0543981481481481,UT Arlington,Slnd,-2.31,101.3,103.6,68.6,-4.81,99.5,104.3,0.8,-2.4,21.0,12.0,73.4,68.9,4.48,-4.62,1.13,-4.0,-2.87,-0.0069444444444444,1.0,Memphis,1.0,Memphis,10.0
17,2008,1,NE,18,8,Mississippi St.,76,9,Oregon,69,8,Mississippi St.,70.80652119999993,9,Oregon,71.18242529999999,Mississippi St.,SEC,16.77,108.2,91.5,66.6,6.22,108.1,101.8,5.5,5.5,23.0,11.0,73.2,65.5,7.68,5.74,5.74,7.68,13.42,-0.1347222222222222,Oregon,P10,15.66,118.8,103.1,65.8,10.56,108.9,98.4,11.0,-1.1,18.0,14.0,76.6,72.5,4.03,7.65,12.03,-0.35,11.68,0.3675213675213676,8.0,Mississippi St.,9.0,Oregon,0.0
18,2008,1,NE,19,5,Michigan St.,72,12,Temple,61,5,Michigan St.,72.59224039999992,12,Temple,68.84020079999996,Michigan St.,B10,21.15,115.8,94.7,63.3,8.71,108.2,99.5,5.8,7.8,27.0,9.0,71.2,62.6,8.64,7.68,7.0,9.32,16.32,0.3840996168582376,Temple,A10,12.37,112.8,100.4,63.6,6.08,107.4,101.3,4.7,2.3,21.0,13.0,72.3,68.7,3.59,4.57,5.05,3.11,8.16,0.0042270531400965,5.0,Michigan St.,5.0,Michigan St.,10.0
19,2008,1,NE,20,4,Pittsburgh,82,13,Oral Roberts,63,4,Pittsburgh,70.19175655999994,13,Oral Roberts,70.42872649999994,Pittsburgh,BE,19.91,116.5,96.6,63.9,9.52,107.8,98.3,7.2,6.0,27.0,10.0,73.8,65.1,8.68,7.84,8.0,7.63,15.62,-0.5098684210526315,Oral Roberts,Sum,10.27,104.7,94.5,63.6,-0.01,105.4,105.4,-0.9,6.5,24.0,9.0,69.2,62.0,7.12,-0.26,-0.99,6.7,5.71,0.3715277777777778,4.0,Pittsburgh,13.0,Oral Roberts,0.0
20,2008,1,NE,21,6,Marquette,74,11,Kentucky,66,6,Marquette,71.63992423999991,11,Kentucky,69.99930039999994,Marquette,BE,22.16,115.3,93.1,66.6,8.62,107.9,99.3,8.3,5.9,25.0,10.0,75.9,64.8,11.11,8.09,11.23,7.39,18.62,-0.1158854166666666,Kentucky,SEC,10.01,107.8,97.8,62.4,6.74,107.4,100.7,1.0,6.4,18.0,13.0,68.5,65.6,2.9,7.09,1.44,7.75,9.19,0.5150462962962964,6.0,Marquette,6.0,Marquette,10.0
21,2008,1,NE,22,3,Stanford,77,14,Cornell,53,3,Stanford,69.95726562999994,14,Cornell,70.18562609999996,Stanford,P10,22.75,113.6,90.9,63.4,9.32,109.1,99.7,5.5,8.6,28.0,8.0,70.9,61.6,9.36,6.95,5.6,10.71,16.31,-0.3098958333333333,Cornell,Ivy,4.41,110.1,105.7,67.9,-6.93,99.1,106.0,6.2,-2.5,22.0,6.0,76.3,68.5,7.82,-4.74,6.17,-5.41,0.76,0.2864583333333334,3.0,Stanford,14.0,Cornell,0.0
22,2008,1,NE,23,7,Miami FL,78,10,Saint Mary's,64,7,Miami FL,70.58197271999992,10,Saint Mary's,70.09795099999998,Miami FL,ACC,15.38,112.5,97.1,65.8,7.78,106.7,98.9,8.1,2.2,23.0,11.0,74.8,67.9,6.85,7.13,7.49,4.89,12.38,-0.4513888888888889,Saint Mary's,WCC,14.66,109.2,94.6,66.4,0.11,103.4,103.3,5.1,3.9,25.0,7.0,75.7,63.7,12.0,0.36,6.27,5.12,11.39,-0.2013888888888889,7.0,Miami FL,7.0,Miami FL,10.0
23,2008,1,NE,24,2,Texas,74,15,Austin Peay,54,2,Texas,74.7063605199999,15,Austin Peay,70.01550039999995,Texas,B12,25.09,120.6,95.5,63.9,10.37,108.4,98.0,9.4,4.3,31.0,7.0,75.5,64.9,10.55,8.59,9.93,8.2,18.13,-0.0802469135802469,Austin Peay,OVC,-0.3,104.6,104.9,65.5,-6.35,102.5,108.8,2.9,-1.8,24.0,11.0,74.0,70.8,3.23,-5.24,1.36,-3.57,-2.21,0.0638888888888889,2.0,Texas,2.0,Texas,10.0
24,2008,1,SE,25,1,UCLA,70,16,Mississippi Valley St.,29,1,UCLA,73.75118887999997,16,Mississippi Valley St.,64.1324506,UCLA,P10,29.94,118.0,88.1,64.1,10.03,109.3,99.3,7.9,10.9,35.0,4.0,73.5,59.0,14.54,7.71,8.6,13.1,21.71,0.423076923076923,Mississippi Valley St.,SWAC,-15.21,91.9,107.1,63.0,-11.0,96.7,107.7,0.0,0.0,17.0,16.0,61.7,65.9,-4.18,-9.5,-13.38,-1.9,-15.28,-0.0260416666666666,1.0,UCLA,1.0,UCLA,10.0
25,2008,1,SE,26,8,BYU,62,9,Texas A&M,67,8,BYU,63.61202119999995,9,Texas A&M,69.20775099999996,BYU,MWC,15.76,107.4,91.7,67.8,1.47,104.2,102.7,4.6,3.6,27.0,8.0,73.7,63.2,10.49,1.33,5.74,6.08,11.82,-0.3757716049382716,Texas A&M,B12,19.93,112.3,92.3,61.8,8.28,107.4,99.1,4.1,8.2,25.0,11.0,70.8,61.6,9.22,7.46,4.82,11.38,16.2,0.1304012345679012,9.0,Texas A&M,9.0,Texas A&M,10.0
26,2008,1,SE,27,5,Drake,99,12,Western Kentucky,101,5,Drake,71.83466463999994,12,Western Kentucky,69.90702609999995,Drake,MVC,21.46,120.0,98.5,62.9,4.89,105.5,100.6,5.4,4.9,28.0,5.0,73.9,62.1,11.82,4.15,7.43,6.65,14.08,-0.3784722222222222,Western Kentucky,SB,14.6,111.9,97.3,68.2,-0.85,103.3,104.2,7.5,0.6,29.0,7.0,77.4,66.8,10.61,0.24,7.93,1.41,9.34,0.2806712962962963,12.0,Western Kentucky,5.0,Drake,0.0
27,2008,1,SE,28,4,Connecticut,69,13,San Diego,70,4,Connecticut,72.38074039999992,13,San Diego,67.23112569999996,Connecticut,BE,18.9,115.2,96.3,67.1,7.67,107.7,100.0,8.5,3.8,24.0,9.0,77.5,68.7,8.79,6.76,10.81,4.73,15.54,0.4884259259259259,San Diego,WCC,4.64,101.6,97.0,63.0,1.43,104.3,102.9,-1.7,3.7,22.0,14.0,65.7,63.8,1.92,1.45,-3.71,7.1,3.39,-0.0347222222222222,13.0,San Diego,4.0,Connecticut,0.0
28,2008,1,SE,29,6,Purdue,90,11,Baylor,79,6,Purdue,69.74116967999994,11,Baylor,71.98062609999997,Purdue,B10,18.3,110.5,92.2,66.9,6.41,106.2,99.7,3.9,6.0,25.0,9.0,69.6,62.4,7.21,5.9,5.95,7.16,13.1,-0.2888374485596707,Baylor,B12,14.82,115.7,100.9,70.1,7.58,106.9,99.3,12.6,-4.8,21.0,11.0,81.3,74.9,6.41,5.75,15.95,-4.5,11.46,0.1124999999999999,6.0,Purdue,11.0,Baylor,0.0
29,2008,1,SE,30,3,Xavier,73,14,Georgia,61,3,Xavier,73.65923231999994,14,Georgia,69.65560079999995,Xavier,A10,22.05,117.3,95.2,63.8,6.94,108.1,101.2,7.9,6.4,30.0,7.0,75.1,63.4,11.7,5.47,8.4,8.76,17.17,0.1358333333333333,Georgia,SEC,8.08,104.3,96.2,64.7,7.55,108.5,101.0,0.4,4.9,17.0,17.0,68.1,67.4,0.71,7.03,0.83,6.42,7.24,-0.5303030303030303,3.0,Xavier,3.0,Xavier,10.0
30,2008,1,SE,31,7,West Virginia,75,10,Arizona,65,7,West Virginia,68.49415655999995,10,Arizona,68.94980079999996,West Virginia,BE,21.29,114.6,93.3,63.8,9.0,108.5,99.5,8.9,7.7,26.0,11.0,74.8,63.6,11.27,7.16,8.45,9.52,17.97,0.1760620915032679,Arizona,P10,19.14,116.4,97.3,63.5,12.72,110.3,97.6,6.6,4.1,19.0,15.0,71.9,66.9,4.91,10.22,7.57,6.99,14.55,-0.1536458333333333,7.0,West Virginia,10.0,Arizona,0.0
31,2008,1,SE,32,2,Duke,71,15,Belmont,70,2,Duke,78.70216454999989,15,Belmont,70.9790261,Duke,ACC,26.4,116.3,89.9,71.5,10.06,109.1,99.0,13.8,4.3,28.0,6.0,83.2,69.4,13.79,9.28,16.48,5.04,21.52,0.1589052287581699,Belmont,ASun,3.53,109.7,106.2,68.6,-5.21,100.9,106.1,6.8,-4.2,25.0,9.0,79.8,73.4,6.38,-3.44,6.55,-6.67,-0.12,-0.1293402777777777,2.0,Duke,2.0,Duke,10.0
32,2008,2,NW,33,1,North Carolina,108,9,Arkansas,77,1,North Carolina,77.47473231999992,9,Arkansas,71.46602529999994,North Carolina,ACC,30.22,122.1,91.9,72.5,10.18,108.0,97.8,19.2,1.0,36.0,3.0,88.6,72.5,16.05,8.12,23.41,0.76,24.17,0.2683080808080808,Arkansas,SEC,15.19,111.4,96.2,66.5,7.19,108.4,101.2,5.5,4.1,23.0,12.0,74.1,68.3,5.74,6.73,6.67,5.81,12.48,0.22255291005291,1.0,North Carolina,1.0,North Carolina,20.0
33,2008,2,NW,34,4,Washington St.,61,5,Notre Dame,41,4,Washington St.,68.95758583999992,5,Notre Dame,68.72842689999997,Washington St.,P10,24.32,115.1,90.8,58.3,8.99,109.0,100.0,1.1,13.2,26.0,9.0,66.4,56.4,10.0,6.35,0.1,16.25,16.35,-0.3564814814814815,Notre Dame,BE,19.07,114.6,95.6,69.5,6.88,107.5,100.6,10.6,1.6,25.0,8.0,79.0,69.6,9.42,7.03,13.12,3.03,16.15,-0.1689814814814815,4.0,Washington St.,4.0,Washington St.,20.0
34,2008,2,NW,35,3,Louisville,78,6,Oklahoma,48,3,Louisville,72.25103231999994,6,Oklahoma,70.12500079999994,Louisville,BE,25.41,113.1,87.7,65.3,9.34,108.4,99.0,7.1,9.1,27.0,9.0,72.5,61.5,11.0,8.0,7.15,11.85,19.0,0.3330662393162393,Oklahoma,B12,14.47,109.5,95.1,63.1,9.45,108.3,98.9,2.6,6.9,23.0,12.0,67.9,63.8,4.11,7.85,3.36,8.61,11.97,-0.2762345679012345,3.0,Louisville,3.0,Louisville,20.0
35,2008,2,NW,36,2,Tennessee,76,7,Butler,71,2,Tennessee,69.69500503999991,7,Butler,69.96195179999998,Tennessee,SEC,22.17,116.2,94.0,70.7,9.58,109.4,99.8,13.3,2.8,31.0,5.0,81.8,70.0,11.86,7.84,15.69,2.73,18.41,-0.1398148148148147,Butler,Horz,19.97,116.2,96.2,59.5,2.79,104.3,101.5,3.3,9.2,30.0,4.0,68.8,58.4,10.41,2.64,2.38,10.63,13.0,0.7087962962962963,2.0,Tennessee,7.0,Butler,0.0
36,2008,2,SW,37,1,Kansas,75,8,UNLV,56,1,Kansas,74.39890807999994,8,UNLV,68.60637549999996,Kansas,B12,35.21,120.9,85.7,66.8,9.57,109.2,99.6,12.4,9.6,37.0,3.0,80.5,61.5,19.03,8.2,14.9,11.99,26.9,-0.0087301587301587,UNLV,MWC,13.71,110.2,96.5,63.9,3.1,104.3,101.2,2.6,6.0,27.0,8.0,69.7,62.3,7.4,4.02,2.46,7.77,10.23,0.0342592592592592,1.0,Kansas,1.0,Kansas,20.0
37,2008,2,SW,38,12,Villanova,84,13,Siena,72,12,Villanova,70.58373735999994,13,Siena,68.74745059999998,Villanova,BE,14.21,109.2,95.0,68.1,9.14,108.9,99.8,5.6,3.4,22.0,13.0,72.8,69.5,3.31,7.69,6.92,4.08,11.0,0.1099537037037037,Siena,MAAC,7.99,108.6,100.7,67.6,-1.41,104.1,105.5,6.1,-1.0,23.0,11.0,76.9,71.2,5.68,-1.62,5.61,-1.55,4.06,0.4108796296296297,12.0,Villanova,12.0,Villanova,20.0
38,2008,2,SW,39,3,Wisconsin,72,11,Kansas St.,55,3,Wisconsin,66.02277271999992,11,Kansas St.,67.43277629999996,Wisconsin,B10,26.68,113.5,86.8,61.1,7.35,107.1,99.8,2.1,14.4,31.0,5.0,67.3,54.4,12.86,6.73,2.83,16.76,19.59,0.2889492753623188,Kansas St.,B12,18.9,114.2,95.3,69.7,9.09,108.0,98.9,8.6,1.1,21.0,12.0,78.0,68.9,9.09,7.79,12.61,3.17,15.79,-0.0777777777777777,3.0,Wisconsin,11.0,Kansas St.,0.0
39,2008,2,SW,40,2,Georgetown,70,10,Davidson,74,2,Georgetown,63.90212119999997,10,Davidson,68.71540159999995,Georgetown,BE,25.56,115.2,89.7,60.5,8.48,108.2,99.8,4.3,12.9,28.0,6.0,69.6,58.1,11.5,7.23,4.06,14.67,18.73,-0.1335227272727272,Davidson,SC,23.61,117.0,93.4,66.2,3.36,105.2,101.8,9.5,5.3,29.0,7.0,77.9,63.2,14.69,1.66,8.49,5.44,13.93,0.0055555555555556,10.0,Davidson,10.0,Davidson,20.0
40,2008,2,NE,41,1,Memphis,77,8,Mississippi St.,74,1,Memphis,71.40967271999993,8,Mississippi St.,70.69492569999994,Memphis,CUSA,31.51,118.0,86.5,68.1,5.83,107.0,101.1,11.3,8.0,38.0,2.0,79.9,61.9,17.98,5.76,13.46,10.28,23.73,0.0543981481481481,Mississippi St.,SEC,16.77,108.2,91.5,66.6,6.22,108.1,101.8,5.5,5.5,23.0,11.0,73.2,65.5,7.68,5.74,5.74,7.68,13.42,-0.1347222222222222,1.0,Memphis,1.0,Memphis,20.0
41,2008,2,NE,42,4,Pittsburgh,54,5,Michigan St.,65,4,Pittsburgh,68.42948079999995,5,Michigan St.,69.59607589999996,Pittsburgh,BE,19.91,116.5,96.6,63.9,9.52,107.8,98.3,7.2,6.0,27.0,10.0,73.8,65.1,8.68,7.84,8.0,7.63,15.62,-0.5098684210526315,Michigan St.,B10,21.15,115.8,94.7,63.3,8.71,108.2,99.5,5.8,7.8,27.0,9.0,71.2,62.6,8.64,7.68,7.0,9.32,16.32,0.3840996168582376,5.0,Michigan St.,5.0,Michigan St.,20.0
42,2008,2,NE,43,3,Stanford,82,6,Marquette,81,3,Stanford,66.82972119999995,6,Marquette,70.32215179999994,Stanford,P10,22.75,113.6,90.9,63.4,9.32,109.1,99.7,5.5,8.6,28.0,8.0,70.9,61.6,9.36,6.95,5.6,10.71,16.31,-0.3098958333333333,Marquette,BE,22.16,115.3,93.1,66.6,8.62,107.9,99.3,8.3,5.9,25.0,10.0,75.9,64.8,11.11,8.09,11.23,7.39,18.62,-0.1158854166666666,3.0,Stanford,6.0,Marquette,0.0
43,2008,2,NE,44,2,Texas,75,7,Miami FL,72,2,Texas,72.55304039999992,7,Miami FL,70.19567589999996,Texas,B12,25.09,120.6,95.5,63.9,10.37,108.4,98.0,9.4,4.3,31.0,7.0,75.5,64.9,10.55,8.59,9.93,8.2,18.13,-0.0802469135802469,Miami FL,ACC,15.38,112.5,97.1,65.8,7.78,106.7,98.9,8.1,2.2,23.0,11.0,74.8,67.9,6.85,7.13,7.49,4.89,12.38,-0.4513888888888889,2.0,Texas,2.0,Texas,20.0
44,2008,2,SE,45,1,UCLA,53,9,Texas A&M,49,1,UCLA,68.96464847999995,9,Texas A&M,68.22395099999996,UCLA,P10,29.94,118.0,88.1,64.1,10.03,109.3,99.3,7.9,10.9,35.0,4.0,73.5,59.0,14.54,7.71,8.6,13.1,21.71,0.423076923076923,Texas A&M,B12,19.93,112.3,92.3,61.8,8.28,107.4,99.1,4.1,8.2,25.0,11.0,70.8,61.6,9.22,7.46,4.82,11.38,16.2,0.1304012345679012,1.0,UCLA,1.0,UCLA,20.0
45,2008,2,SE,46,12,Western Kentucky,72,13,San Diego,63,12,Western Kentucky,70.37666463999997,13,San Diego,67.33040079999996,Western Kentucky,SB,14.6,111.9,97.3,68.2,-0.85,103.3,104.2,7.5,0.6,29.0,7.0,77.4,66.8,10.61,0.24,7.93,1.41,9.34,0.2806712962962963,San Diego,WCC,4.64,101.6,97.0,63.0,1.43,104.3,102.9,-1.7,3.7,22.0,14.0,65.7,63.8,1.92,1.45,-3.71,7.1,3.39,-0.0347222222222222,12.0,Western Kentucky,12.0,Western Kentucky,20.0
46,2008,2,SE,47,3,Xavier,85,6,Purdue,78,3,Xavier,69.46248079999991,6,Purdue,69.66975099999995,Xavier,A10,22.05,117.3,95.2,63.8,6.94,108.1,101.2,7.9,6.4,30.0,7.0,75.1,63.4,11.7,5.47,8.4,8.76,17.17,0.1358333333333333,Purdue,B10,18.3,110.5,92.2,66.9,6.41,106.2,99.7,3.9,6.0,25.0,9.0,69.6,62.4,7.21,5.9,5.95,7.16,13.1,-0.2888374485596707,3.0,Xavier,6.0,Purdue,0.0
47,2008,2,SE,48,2,Duke,67,7,West Virginia,73,2,Duke,71.4018484799999,7,West Virginia,71.03507589999995,Duke,ACC,26.4,116.3,89.9,71.5,10.06,109.1,99.0,13.8,4.3,28.0,6.0,83.2,69.4,13.79,9.28,16.48,5.04,21.52,0.1589052287581699,West Virginia,BE,21.29,114.6,93.3,63.8,9.0,108.5,99.5,8.9,7.7,26.0,11.0,74.8,63.6,11.27,7.16,8.45,9.52,17.97,0.1760620915032679,7.0,West Virginia,2.0,Duke,0.0
48,2008,3,NW,49,1,North Carolina,68,4,Washington St.,47,1,North Carolina,71.27744847999993,4,Washington St.,65.44130039999997,North Carolina,ACC,30.22,122.1,91.9,72.5,10.18,108.0,97.8,19.2,1.0,36.0,3.0,88.6,72.5,16.05,8.12,23.41,0.76,24.17,0.2683080808080808,Washington St.,P10,24.32,115.1,90.8,58.3,8.99,109.0,100.0,1.1,13.2,26.0,9.0,66.4,56.4,10.0,6.35,0.1,16.25,16.35,-0.3564814814814815,1.0,North Carolina,1.0,North Carolina,40.0
