Year,Round,Region,Game,AFSeed,AFTeam,AFScore,AUSeed,AUTeam,AUScore,Team_x,Conf_x,AdjEM_x,AdjO_x,AdjD_x,AdjT_x,BPIO_x,BPID_x,W_x,L_x,Pts_x,Opp_x,MOV_x,SOS_x,OSRS_x,DSRS_x,SRS_x,Team_y,Conf_y,AdjEM_y,AdjO_y,AdjD_y,AdjT_y,BPIO_y,BPID_y,W_y,L_y,Pts_y,Opp_y,MOV_y,SOS_y,OSRS_y,DSRS_y,SRS_y
2008,1,NE,19,5,Michigan St.,72,12,Temple,61,Michigan St.,B10,21.15,115.8,94.7,63.3,5.8,7.8,27,9,71.2,62.6,8.64,7.68,7,9.32,16.32,Temple,A10,12.37,112.8,100.4,63.6,4.7,2.3,21,13,72.3,68.7,3.59,4.57,5.05,3.11,8.16
2008,1,NE,20,4,Pittsburgh,82,13,Oral Roberts,63,Pittsburgh,BE,19.91,116.5,96.6,63.9,7.2,6,27,10,73.8,65.1,8.68,7.84,8,7.63,15.62,Oral Roberts,Sum,10.27,104.7,94.5,63.6,-0.9,6.5,24,9,69.2,62,7.12,-0.26,-0.99,6.7,5.71
2008,1,NE,21,6,Marquette,74,11,Kentucky,66,Marquette,BE,22.16,115.3,93.1,66.6,8.3,5.9,25,10,75.9,64.8,11.11,8.09,11.23,7.39,18.62,Kentucky,SEC,10.01,107.8,97.8,62.4,1,6.4,18,13,68.5,65.6,2.9,7.09,1.44,7.75,9.19
2008,1,NE,22,3,Stanford,77,14,Cornell,53,Stanford,P10,22.75,113.6,90.9,63.4,5.5,8.6,28,8,70.9,61.6,9.36,6.95,5.6,10.71,16.31,Cornell,Ivy,4.41,110.1,105.7,67.9,6.2,-2.5,22,6,76.3,68.5,7.82,-4.74,6.17,-5.41,0.76
2008,1,NE,23,7,Miami FL,78,10,Saint Mary's,64,Miami FL,ACC,15.38,112.5,97.1,65.8,8.1,2.2,23,11,74.8,67.9,6.85,7.13,7.49,4.89,12.38,Saint Mary's,WCC,14.66,109.2,94.6,66.4,5.1,3.9,25,7,75.7,63.7,12,0.36,6.27,5.12,11.39
2008,1,NE,24,2,Texas,74,15,Austin Peay,54,Texas,B12,25.09,120.6,95.5,63.9,9.4,4.3,31,7,75.5,64.9,10.55,8.59,9.93,8.2,18.13,Austin Peay,OVC,-0.3,104.6,104.9,65.5,2.9,-1.8,24,11,74,70.8,3.23,-5.24,1.36,-3.57,-2.21
2008,1,SE,25,1,UCLA,70,16,Mississippi Valley St.,29,UCLA,P10,29.94,118,88.1,64.1,7.9,10.9,35,4,73.5,59,14.54,7.71,8.6,13.1,21.71,Mississippi Valley St.,SWAC,-15.21,91.9,107.1,63,0,0,17,16,61.7,65.9,-4.18,-9.5,-13.38,-1.9,-15.28
2008,1,SE,26,8,BYU,62,9,Texas A&M,67,BYU,MWC,15.76,107.4,91.7,67.8,4.6,3.6,27,8,73.7,63.2,10.49,1.33,5.74,6.08,11.82,Texas A&M,B12,19.93,112.3,92.3,61.8,4.1,8.2,25,11,70.8,61.6,9.22,7.46,4.82,11.38,16.2
2008,1,SE,27,5,Drake,99,12,Western Kentucky,101,Drake,MVC,21.46,120,98.5,62.9,5.4,4.9,28,5,73.9,62.1,11.82,4.15,7.43,6.65,14.08,Western Kentucky,SB,14.6,111.9,97.3,68.2,7.5,0.6,29,7,77.4,66.8,10.61,0.24,7.93,1.41,9.34
2008,1,SE,28,4,Connecticut,69,13,San Diego,70,Connecticut,BE,18.9,115.2,96.3,67.1,8.5,3.8,24,9,77.5,68.7,8.79,6.76,10.81,4.73,15.54,San Diego,WCC,4.64,101.6,97,63,-1.7,3.7,22,14,65.7,63.8,1.92,1.45,-3.71,7.1,3.39
2008,1,SE,29,6,Purdue,90,11,Baylor,79,Purdue,B10,18.3,110.5,92.2,66.9,3.9,6,25,9,69.6,62.4,7.21,5.9,5.95,7.16,13.1,Baylor,B12,14.82,115.7,100.9,70.1,12.6,-4.8,21,11,81.3,74.9,6.41,5.75,15.95,-4.5,11.46
2008,1,SE,30,3,Xavier,73,14,Georgia,61,Xavier,A10,22.05,117.3,95.2,63.8,7.9,6.4,30,7,75.1,63.4,11.7,5.47,8.4,8.76,17.17,Georgia,SEC,8.08,104.3,96.2,64.7,0.4,4.9,17,17,68.1,67.4,0.71,7.03,0.83,6.42,7.24
2008,1,SE,31,7,West Virginia,75,10,Arizona,65,West Virginia,BE,21.29,114.6,93.3,63.8,8.9,7.7,26,11,74.8,63.6,11.27,7.16,8.45,9.52,17.97,Arizona,P10,19.14,116.4,97.3,63.5,6.6,4.1,19,15,71.9,66.9,4.91,10.22,7.57,6.99,14.55
2008,1,SE,32,2,Duke,71,15,Belmont,70,Duke,ACC,26.4,116.3,89.9,71.5,13.8,4.3,28,6,83.2,69.4,13.79,9.28,16.48,5.04,21.52,Belmont,ASun,3.53,109.7,106.2,68.6,6.8,-4.2,25,9,79.8,73.4,6.38,-3.44,6.55,-6.67,-0.12
2008,2,NW,33,1,North Carolina,108,9,Arkansas,77,North Carolina,ACC,30.22,122.1,91.9,72.5,19.2,1,36,3,88.6,72.5,16.05,8.12,23.41,0.76,24.17,Arkansas,SEC,15.19,111.4,96.2,66.5,5.5,4.1,23,12,74.1,68.3,5.74,6.73,6.67,5.81,12.48
2008,2,NW,34,4,Washington St.,61,5,Notre Dame,41,Washington St.,P10,24.32,115.1,90.8,58.3,1.1,13.2,26,9,66.4,56.4,10,6.35,0.1,16.25,16.35,Notre Dame,BE,19.07,114.6,95.6,69.5,10.6,1.6,25,8,79,69.6,9.42,7.03,13.12,3.03,16.15
2008,2,NW,35,3,Louisville,78,6,Oklahoma,48,Louisville,BE,25.41,113.1,87.7,65.3,7.1,9.1,27,9,72.5,61.5,11,8,7.15,11.85,19,Oklahoma,B12,14.47,109.5,95.1,63.1,2.6,6.9,23,12,67.9,63.8,4.11,7.85,3.36,8.61,11.97
2008,2,NW,36,2,Tennessee,76,7,Butler,71,Tennessee,SEC,22.17,116.2,94,70.7,13.3,2.8,31,5,81.8,70,11.86,7.84,15.69,2.73,18.41,Butler,Horz,19.97,116.2,96.2,59.5,3.3,9.2,30,4,68.8,58.4,10.41,2.64,2.38,10.63,13
2008,2,SW,37,1,Kansas,75,8,UNLV,56,Kansas,B12,35.21,120.9,85.7,66.8,12.4,9.6,37,3,80.5,61.5,19.03,8.2,14.9,11.99,26.9,UNLV,MWC,13.71,110.2,96.5,63.9,2.6,6,27,8,69.7,62.3,7.4,4.02,2.46,7.77,10.23
2008,2,SW,38,12,Villanova,84,13,Siena,72,Villanova,BE,14.21,109.2,95,68.1,5.6,3.4,22,13,72.8,69.5,3.31,7.69,6.92,4.08,11,Siena,MAAC,7.99,108.6,100.7,67.6,6.1,-1,23,11,76.9,71.2,5.68,-1.62,5.61,-1.55,4.06
2008,2,SW,39,3,Wisconsin,72,11,Kansas St.,55,Wisconsin,B10,26.68,113.5,86.8,61.1,2.1,14.4,31,5,67.3,54.4,12.86,6.73,2.83,16.76,19.59,Kansas St.,B12,18.9,114.2,95.3,69.7,8.6,1.1,21,12,78,68.9,9.09,7.79,12.61,3.17,15.79
2008,2,SW,40,2,Georgetown,70,10,Davidson,74,Georgetown,BE,25.56,115.2,89.7,60.5,4.3,12.9,28,6,69.6,58.1,11.5,7.23,4.06,14.67,18.73,Davidson,SC,23.61,117,93.4,66.2,9.5,5.3,29,7,77.9,63.2,14.69,1.66,8.49,5.44,13.93
2008,2,NE,41,1,Memphis,77,8,Mississippi St.,74,Memphis,CUSA,31.51,118,86.5,68.1,11.3,8,38,2,79.9,61.9,17.98,5.76,13.46,10.28,23.73,Mississippi St.,SEC,16.77,108.2,91.5,66.6,5.5,5.5,23,11,73.2,65.5,7.68,5.74,5.74,7.68,13.42
2008,2,NE,42,4,Pittsburgh,54,5,Michigan St.,65,Pittsburgh,BE,19.91,116.5,96.6,63.9,7.2,6,27,10,73.8,65.1,8.68,7.84,8,7.63,15.62,Michigan St.,B10,21.15,115.8,94.7,63.3,5.8,7.8,27,9,71.2,62.6,8.64,7.68,7,9.32,16.32
2008,2,NE,43,3,Stanford,82,6,Marquette,81,Stanford,P10,22.75,113.6,90.9,63.4,5.5,8.6,28,8,70.9,61.6,9.36,6.95,5.6,10.71,16.31,Marquette,BE,22.16,115.3,93.1,66.6,8.3,5.9,25,10,75.9,64.8,11.11,8.09,11.23,7.39,18.62
2008,2,NE,44,2,Texas,75,7,Miami FL,72,Texas,B12,25.09,120.6,95.5,63.9,9.4,4.3,31,7,75.5,64.9,10.55,8.59,9.93,8.2,18.13,Miami FL,ACC,15.38,112.5,97.1,65.8,8.1,2.2,23,11,74.8,67.9,6.85,7.13,7.49,4.89,12.38
