Team,PASE
Abilene Christian,0.3529411764705882
Akron,-0.2647058823529412
Alabama,0.0903361344537815
Alabama St.,0.9705882352941176
Albany,0.22549019607843135
American,0.125
Appalachian St.,
Arizona,-0.10633484162895929
Arizona St.,-0.01838235294117646
Arkansas,0.5955882352941176
Arkansas Pine Bluff,0.9705882352941176
Auburn,0.08333333333333333
Austin Peay,-0.10294117647058824
BYU,-0.14052287581699346
Baylor,0.020361990950226335
Belmont,-0.24264705882352944
Binghamton,-0.17647058823529413
Boise St.,-0.4754901960784314
Boston College,-0.9117647058823529
Boston University,-0.029411764705882353
Bradley,-0.17647058823529413
Bryant,-0.17647058823529413
Bucknell,-0.3382352941176471
Buffalo,0.08088235294117649
Butler,1.0245098039215685
CSUN,-0.17647058823529413
Cal Poly,0.9705882352941176
Cal St. Bakersfield,-0.17647058823529413
Cal St. Fullerton,-0.1568627450980392
California,-0.4522058823529411
Charleston,-0.34803921568627444
Chattanooga,-0.2745098039215686
Cincinnati,-0.27450980392156865
Clemson,-0.17463235294117643
Cleveland St.,0.2867647058823529
Coastal Carolina,-0.029411764705882353
Colgate,-0.1411764705882353
Colorado,-0.10049019607843139
Colorado St.,-0.09705882352941175
Connecticut,0.8435828877005349
Coppin St.,
Cornell,0.40686274509803927
Creighton,0.18823529411764706
Davidson,0.06127450980392165
Dayton,0.2769607843137255
Delaware,-0.21323529411764708
Detroit Mercy,-0.17647058823529413
Drake,-0.3941176470588236
Drexel,-0.029411764705882353
Duke,0.05422794117647056
Duquesne,0.13235294117647056
East Tennessee St.,-0.10294117647058824
Eastern Kentucky,-0.17647058823529413
Eastern Washington,-0.18382352941176472
Fairleigh Dickinson,1.4705882352941178
Florida,0.6390374331550803
Florida Atlantic,1.3088235294117647
Florida Gulf Coast,0.892156862745098
Florida St.,0.12316176470588236
Fresno St.,-0.11764705882352941
Furman,0.75
Gardner Webb,-0.029411764705882353
George Mason,-0.13970588235294118
George Washington,-0.6470588235294118
Georgetown,-1.1575630252100841
Georgia,-0.4779411764705882
Georgia St.,0.13970588235294118
Georgia Tech,-0.11029411764705882
Gonzaga,0.25000000000000006
Grambling St.,0.9705882352941176
Grand Canyon,-0.022058823529411763
Green Bay,-0.11764705882352941
Hampton,0.30392156862745096
Harvard,0.1360294117647059
Hawaii,0.75
High Point,-0.25
Holy Cross,0.9705882352941176
Houston,0.3566176470588236
Howard,-0.029411764705882353
Illinois,-0.36397058823529405
Indiana,-0.21638655462184872
Indiana St.,-0.11764705882352941
Iona,-0.16806722689075634
Iowa,-0.40686274509803927
Iowa St.,-0.21122994652406415
Jacksonville St.,-0.17647058823529413
James Madison,0.7132352941176471
Kansas,-0.3114186851211072
Kansas St.,0.07941176470588232
Kennesaw St.,-0.11764705882352941
Kent St.,-0.338235294117647
Kentucky,0.42752100840336144
LIU,-0.10294117647058824
LSU,-0.15588235294117644
La Salle,2.75
Lamar,
Lehigh,0.39705882352941174
Liberty,-0.11274509803921566
Lipscomb,-0.14705882352941177
Little Rock,0.4558823529411765
Long Beach St.,-0.3602941176470588
Longwood,-0.07352941176470588
Louisiana,-0.1323529411764706
Louisville,0.1390374331550803
Loyola Chicago,1.2745098039215685
Loyola MD,-0.17647058823529413
Manhattan,-0.25
Marquette,-0.21568627450980393
Marshall,0.75
Maryland,0.06862745098039216
Massachusetts,-0.7647058823529411
McNeese St.,-0.044117647058823484
Memphis,-0.0866013071895425
Mercer,0.8823529411764706
Miami FL,0.5441176470588235
Michigan,0.7585784313725491
Michigan St.,0.6672794117647058
Middle Tennessee,0.6397058823529411
Milwaukee,-0.17647058823529413
Minnesota,-0.4
Mississippi,0.2720588235294118
Mississippi St.,-0.5147058823529412
Mississippi Valley St.,-0.029411764705882353
Missouri,-0.47058823529411764
Montana,-0.17156862745098037
Montana St.,-0.11764705882352941
Morehead St.,0.3713235294117647
Morgan St.,-0.17647058823529413
Mount St. Mary's,0.9705882352941176
Murray St.,0.1970588235294118
Nebraska,-0.8014705882352942
Nebraska Omaha,-0.17647058823529413
Nevada,-0.23529411764705876
New Mexico,-0.7107843137254902
New Mexico St.,-0.24673202614379086
New Orleans,
Norfolk St.,0.4338235294117647
North Carolina,0.4666666666666668
North Carolina A&T,0.9705882352941176
North Carolina Central,-0.11764705882352941
North Carolina St.,0.5336134453781513
North Dakota,-0.17647058823529413
North Dakota St.,0.28308823529411764
North Florida,
North Texas,0.2867647058823529
Northeastern,-0.18382352941176472
Northern Colorado,-0.17647058823529413
Northern Iowa,0.2058823529411765
Northern Kentucky,-0.10784313725490197
Northwestern,0.2352941176470588
Northwestern St.,-0.11764705882352941
Notre Dame,0.050653594771241824
Oakland,0.17156862745098037
Ohio,1.1274509803921569
Ohio St.,-0.18582887700534767
Oklahoma,0.06617647058823525
Oklahoma St.,-0.6071428571428571
Old Dominion,-0.21078431372549022
Oral Roberts,0.34313725490196073
Oregon,0.5514705882352942
Oregon St.,0.7720588235294119
Pacific,-0.17647058823529413
Penn,-0.029411764705882353
Penn St.,-0.07352941176470584
Pittsburgh,-0.49448529411764697
Portland St.,-0.13970588235294118
Prairie View A&M,
Princeton,0.34313725490196073
Providence,-0.3897058823529412
Purdue,-0.146078431372549
Radford,0.47058823529411764
Rhode Island,0.11029411764705882
Richmond,0.3333333333333334
Robert Morris,0.11029411764705882
Rutgers,0.42647058823529416
SIUE,-0.029411764705882353
SMU,-0.7647058823529411
Saint Francis,
Saint Joseph's,-0.39215686274509803
Saint Louis,-0.15808823529411767
Saint Mary's,-0.19705882352941173
Saint Peter's,0.8431372549019609
Sam Houston St.,-0.11764705882352941
Samford,-0.25
San Diego,0.75
San Diego St.,0.10661764705882355
San Francisco,-0.5735294117647058
Seton Hall,-0.4911764705882353
Siena,0.2843137254901961
South Alabama,-0.5735294117647058
South Carolina,1.161764705882353
South Dakota St.,-0.3137254901960784
South Florida,1.4558823529411766
Southeast Missouri,
Southern,-0.029411764705882353
Southern Miss,-0.6470588235294118
St. Bonaventure,-0.21078431372549022
St. John's,-0.8676470588235294
Stanford,0.7647058823529412
Stephen F. Austin,0.11176470588235295
Stetson,-0.029411764705882353
Stony Brook,-0.25
Syracuse,0.5029411764705883
TCU,-0.20588235294117646
Temple,-0.5399159663865546
Tennessee,0.14828431372549014
Texas,-0.29096638655462187
Texas A&M,-0.03431372549019607
Texas A&M Corpus Chris,0.9705882352941176
Texas Southern,0.5411764705882354
Texas Tech,0.592436974789916
Troy,-0.14705882352941177
Tulsa,-0.25
UAB,-0.06862745098039214
UC Davis,0.9705882352941176
UC Irvine,0.25
UC San Diego,-0.5441176470588235
UC Santa Barbara,-0.2536764705882353
UCF,0.3529411764705882
UCLA,0.5708556149732621
UMBC,0.39705882352941174
UNC Asheville,0.14705882352941174
UNC Greensboro,-0.25
UNC Wilmington,-0.30392156862745096
UNLV,-0.6176470588235294
USC,0.11554621848739499
UT Arlington,-0.029411764705882353
UTEP,-0.5441176470588235
UTSA,0.9705882352941176
Utah,-0.37745098039215685
Utah St.,-0.5551470588235293
VCU,-0.10784313725490191
Valparaiso,-0.18382352941176472
Vanderbilt,-0.9485294117647057
Vermont,-0.033613445378151266
Villanova,0.20701357466063344
Virginia,-0.9281045751633985
Virginia Tech,-0.4882352941176471
Wagner,0.9705882352941176
Wake Forest,-0.6323529411764706
Washington,0.2389705882352941
Washington St.,0.23529411764705882
Weber St.,-0.10294117647058824
West Virginia,0.013368983957219244
Western Kentucky,0.5352941176470589
Western Michigan,-0.11764705882352941
Wichita St.,0.13655462184873954
Winthrop,-0.34803921568627444
Wisconsin,0.11764705882352944
Wofford,-0.19607843137254902
Wright St.,-0.07352941176470588
Wyoming,-0.5441176470588235
Xavier,0.33529411764705885
Yale,0.14411764705882352
